recipe_id,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
46,430.0,5.0,20.0,50.0,6.0,17.0,300.0
47,430.0,5.0,20.0,50.0,2.0,17.0,300.0
48,350.0,5.0,20.0,30.0,2.0,2.0,300.0
49,430.0,5.0,20.0,50.0,2.0,2.0,300.0
50,330.0,5.0,8.0,50.0,2.0,17.0,300.0
51,430.0,5.0,20.0,50.0,2.0,2.0,300.0
52,400.0,20.0,20.0,30.0,2.0,2.0,300.0
53,480.0,20.0,20.0,50.0,6.0,2.0,300.0
54,480.0,20.0,20.0,50.0,2.0,2.0,300.0
55,480.0,20.0,20.0,50.0,2.0,17.0,300.0
56,480.0,20.0,20.0,50.0,6.0,2.0,300.0
57,350.0,5.0,20.0,30.0,2.0,2.0,300.0
58,480.0,20.0,20.0,50.0,2.0,17.0,300.0
59,430.0,5.0,20.0,50.0,6.0,2.0,300.0
60,430.0,5.0,20.0,50.0,2.0,17.0,300.0
61,400.0,20.0,20.0,30.0,2.0,2.0,300.0
62,430.0,5.0,20.0,50.0,6.0,2.0,300.0
63,400.0,20.0,20.0,30.0,2.0,2.0,300.0
64,430.0,5.0,20.0,50.0,2.0,2.0,300.0
65,480.0,20.0,20.0,50.0,2.0,2.0,300.0
66,480.0,20.0,20.0,50.0,6.0,17.0,300.0
67,480.0,20.0,20.0,50.0,2.0,17.0,300.0
68,480.0,20.0,20.0,50.0,2.0,2.0,300.0
69,430.0,5.0,20.0,50.0,2.0,17.0,300.0
70,330.0,5.0,8.0,50.0,2.0,2.0,300.0
71,250.0,5.0,8.0,30.0,2.0,2.0,300.0
72,430.0,5.0,20.0,50.0,2.0,17.0,300.0
73,480.0,20.0,20.0,50.0,2.0,17.0,300.0
74,430.0,5.0,20.0,50.0,2.0,17.0,300.0
75,480.0,20.0,20.0,50.0,2.0,2.0,300.0
76,480.0,20.0,20.0,50.0,2.0,2.0,300.0
77,350.0,5.0,20.0,30.0,2.0,2.0,300.0
78,480.0,20.0,20.0,50.0,2.0,17.0,300.0
79,430.0,5.0,20.0,50.0,2.0,2.0,300.0
80,430.0,5.0,20.0,50.0,2.0,17.0,300.0
81,350.0,5.0,20.0,30.0,2.0,2.0,300.0
82,430.0,5.0,20.0,50.0,6.0,17.0,300.0
83,350.0,5.0,20.0,30.0,2.0,2.0,300.0
84,430.0,5.0,20.0,50.0,2.0,2.0,300.0
85,400.0,20.0,20.0,30.0,2.0,2.0,300.0
86,380.0,20.0,8.0,50.0,2.0,17.0,300.0
87,480.0,20.0,20.0,50.0,2.0,2.0,300.0
88,400.0,20.0,20.0,30.0,2.0,2.0,300.0
89,400.0,20.0,20.0,30.0,2.0,2.0,300.0
90,430.0,5.0,20.0,50.0,6.0,17.0,300.0
91,400.0,20.0,20.0,30.0,2.0,2.0,300.0
92,430.0,5.0,20.0,50.0,2.0,2.0,300.0
93,430.0,5.0,20.0,50.0,2.0,17.0,300.0
94,430.0,5.0,20.0,50.0,2.0,17.0,300.0
95,400.0,20.0,20.0,30.0,2.0,2.0,300.0
96,330.0,5.0,8.0,50.0,2.0,17.0,300.0
97,480.0,20.0,20.0,50.0,6.0,17.0,300.0
98,400.0,20.0,20.0,30.0,2.0,2.0,300.0
99,330.0,5.0,8.0,50.0,2.0,2.0,300.0
100,400.0,20.0,20.0,30.0,2.0,2.0,300.0
101,480.0,20.0,20.0,50.0,2.0,2.0,300.0
102,350.0,5.0,20.0,30.0,2.0,2.0,300.0
103,400.0,20.0,20.0,30.0,2.0,2.0,300.0
104,350.0,5.0,20.0,30.0,2.0,2.0,300.0
105,350.0,5.0,20.0,30.0,2.0,2.0,300.0
106,430.0,5.0,20.0,50.0,2.0,2.0,300.0
107,400.0,20.0,20.0,30.0,2.0,2.0,300.0
108,480.0,20.0,20.0,50.0,6.0,2.0,300.0
109,400.0,20.0,20.0,30.0,2.0,2.0,300.0
110,350.0,5.0,20.0,30.0,2.0,2.0,300.0
111,480.0,20.0,20.0,50.0,2.0,2.0,300.0
112,480.0,20.0,20.0,50.0,6.0,2.0,300.0
113,300.0,20.0,8.0,30.0,2.0,2.0,300.0
114,400.0,20.0,20.0,30.0,2.0,2.0,300.0
115,480.0,20.0,20.0,50.0,6.0,17.0,300.0
116,430.0,5.0,20.0,50.0,2.0,17.0,300.0
117,480.0,20.0,20.0,50.0,2.0,2.0,300.0
118,350.0,5.0,20.0,30.0,2.0,2.0,300.0
119,400.0,20.0,20.0,30.0,2.0,2.0,300.0
120,350.0,5.0,20.0,30.0,2.0,2.0,300.0
121,400.0,20.0,20.0,30.0,2.0,2.0,300.0
122,480.0,20.0,20.0,50.0,6.0,17.0,300.0
123,430.0,5.0,20.0,50.0,2.0,2.0,300.0
124,400.0,20.0,20.0,30.0,6.0,2.0,300.0
125,400.0,20.0,20.0,30.0,6.0,2.0,300.0
126,430.0,5.0,20.0,50.0,2.0,17.0,300.0
127,430.0,5.0,20.0,50.0,6.0,2.0,300.0
128,480.0,20.0,20.0,50.0,2.0,17.0,300.0
129,430.0,5.0,20.0,50.0,2.0,2.0,300.0
130,430.0,5.0,20.0,50.0,2.0,17.0,300.0
131,480.0,20.0,20.0,50.0,2.0,17.0,300.0
132,400.0,20.0,20.0,30.0,2.0,2.0,300.0
133,430.0,5.0,20.0,50.0,2.0,2.0,300.0
134,480.0,20.0,20.0,50.0,2.0,2.0,300.0
135,400.0,20.0,20.0,30.0,2.0,2.0,300.0
136,350.0,5.0,20.0,30.0,2.0,2.0,300.0
137,430.0,5.0,20.0,50.0,2.0,2.0,300.0
138,400.0,20.0,20.0,30.0,2.0,2.0,300.0
139,400.0,20.0,20.0,30.0,6.0,2.0,300.0
140,430.0,5.0,20.0,50.0,6.0,17.0,300.0
141,250.0,5.0,8.0,30.0,2.0,2.0,300.0
142,350.0,5.0,20.0,30.0,2.0,2.0,300.0
143,350.0,5.0,20.0,30.0,2.0,2.0,300.0
144,430.0,5.0,20.0,50.0,2.0,2.0,300.0
145,400.0,20.0,20.0,30.0,2.0,2.0,300.0
146,430.0,5.0,20.0,50.0,2.0,2.0,300.0
147,350.0,5.0,20.0,30.0,2.0,2.0,300.0
148,400.0,20.0,20.0,30.0,2.0,2.0,300.0
149,480.0,20.0,20.0,50.0,6.0,2.0,300.0
150,350.0,5.0,20.0,30.0,6.0,2.0,300.0
151,480.0,20.0,20.0,50.0,6.0,2.0,300.0
152,480.0,20.0,20.0,50.0,6.0,2.0,300.0
153,430.0,5.0,20.0,50.0,2.0,17.0,300.0
154,480.0,20.0,20.0,50.0,6.0,2.0,300.0
155,430.0,5.0,20.0,50.0,2.0,17.0,300.0
156,400.0,20.0,20.0,30.0,2.0,2.0,300.0
157,480.0,20.0,20.0,50.0,6.0,2.0,300.0
158,430.0,5.0,20.0,50.0,2.0,2.0,300.0
159,480.0,20.0,20.0,50.0,6.0,2.0,300.0
160,480.0,20.0,20.0,50.0,2.0,17.0,300.0
161,430.0,5.0,20.0,50.0,6.0,17.0,300.0
162,400.0,20.0,20.0,30.0,2.0,2.0,300.0
163,250.0,5.0,8.0,30.0,2.0,2.0,300.0
164,400.0,20.0,20.0,30.0,6.0,2.0,300.0
165,480.0,20.0,20.0,50.0,2.0,2.0,300.0
166,480.0,20.0,20.0,50.0,6.0,2.0,300.0
167,430.0,5.0,20.0,50.0,2.0,17.0,300.0
168,350.0,5.0,20.0,30.0,2.0,2.0,300.0
169,350.0,5.0,20.0,30.0,6.0,2.0,300.0
170,480.0,20.0,20.0,50.0,2.0,2.0,300.0
171,350.0,5.0,20.0,30.0,2.0,2.0,300.0
172,430.0,5.0,20.0,50.0,2.0,17.0,300.0
173,480.0,20.0,20.0,50.0,2.0,17.0,300.0
174,430.0,5.0,20.0,50.0,2.0,2.0,300.0
175,430.0,5.0,20.0,50.0,2.0,2.0,300.0
176,400.0,20.0,20.0,30.0,2.0,2.0,300.0
177,400.0,20.0,20.0,30.0,6.0,2.0,300.0
178,350.0,5.0,20.0,30.0,2.0,2.0,300.0
179,480.0,20.0,20.0,50.0,2.0,2.0,300.0
180,480.0,20.0,20.0,50.0,2.0,2.0,300.0
181,350.0,5.0,20.0,30.0,2.0,2.0,300.0
182,330.0,5.0,8.0,50.0,6.0,17.0,300.0
183,380.0,20.0,8.0,50.0,2.0,17.0,300.0
184,400.0,20.0,20.0,30.0,2.0,2.0,300.0
185,480.0,20.0,20.0,50.0,2.0,17.0,300.0
186,430.0,5.0,20.0,50.0,2.0,17.0,300.0
187,400.0,20.0,20.0,30.0,2.0,2.0,300.0
188,350.0,5.0,20.0,30.0,2.0,2.0,300.0
189,430.0,5.0,20.0,50.0,2.0,17.0,300.0
190,430.0,5.0,20.0,50.0,2.0,2.0,300.0
191,400.0,20.0,20.0,30.0,6.0,2.0,300.0
192,480.0,20.0,20.0,50.0,2.0,17.0,300.0
193,430.0,5.0,20.0,50.0,2.0,17.0,300.0
194,300.0,20.0,8.0,30.0,2.0,2.0,300.0
195,430.0,5.0,20.0,50.0,2.0,2.0,300.0
196,350.0,5.0,20.0,30.0,2.0,2.0,300.0
197,430.0,5.0,20.0,50.0,2.0,2.0,300.0
198,400.0,20.0,20.0,30.0,2.0,2.0,300.0
199,350.0,5.0,20.0,30.0,2.0,2.0,300.0
200,350.0,5.0,20.0,30.0,2.0,2.0,300.0
201,430.0,5.0,20.0,50.0,2.0,2.0,300.0
202,330.0,5.0,8.0,50.0,2.0,17.0,300.0
203,350.0,5.0,20.0,30.0,2.0,2.0,300.0
204,480.0,20.0,20.0,50.0,6.0,17.0,300.0
205,400.0,20.0,20.0,30.0,2.0,2.0,300.0
206,480.0,20.0,20.0,50.0,6.0,2.0,300.0
207,480.0,20.0,20.0,50.0,2.0,17.0,300.0
208,430.0,5.0,20.0,50.0,2.0,2.0,300.0
209,430.0,5.0,20.0,50.0,2.0,2.0,300.0
210,430.0,5.0,20.0,50.0,2.0,17.0,300.0
211,430.0,5.0,20.0,50.0,6.0,2.0,300.0
212,430.0,5.0,20.0,50.0,2.0,2.0,300.0
213,330.0,5.0,8.0,50.0,2.0,17.0,300.0
214,430.0,5.0,20.0,50.0,2.0,2.0,300.0
215,430.0,5.0,20.0,50.0,6.0,2.0,300.0
216,250.0,5.0,8.0,30.0,2.0,2.0,300.0
217,430.0,5.0,20.0,50.0,2.0,17.0,300.0
218,400.0,20.0,20.0,30.0,6.0,2.0,300.0
219,480.0,20.0,20.0,50.0,2.0,17.0,300.0
220,430.0,5.0,20.0,50.0,6.0,2.0,300.0
221,330.0,5.0,8.0,50.0,2.0,17.0,300.0
222,400.0,20.0,20.0,30.0,6.0,2.0,300.0
223,330.0,5.0,8.0,50.0,2.0,17.0,300.0
224,480.0,20.0,20.0,50.0,6.0,2.0,300.0
225,480.0,20.0,20.0,50.0,2.0,2.0,300.0
226,400.0,20.0,20.0,30.0,2.0,2.0,300.0
227,430.0,5.0,20.0,50.0,2.0,17.0,300.0
228,430.0,5.0,20.0,50.0,2.0,2.0,300.0
229,400.0,20.0,20.0,30.0,2.0,2.0,300.0
230,430.0,5.0,20.0,50.0,2.0,2.0,300.0
231,430.0,5.0,20.0,50.0,2.0,2.0,300.0
232,430.0,5.0,20.0,50.0,2.0,17.0,300.0
233,480.0,20.0,20.0,50.0,6.0,2.0,300.0
234,430.0,5.0,20.0,50.0,2.0,2.0,300.0
235,350.0,5.0,20.0,30.0,6.0,2.0,300.0
236,430.0,5.0,20.0,50.0,2.0,17.0,300.0
237,480.0,20.0,20.0,50.0,6.0,17.0,300.0
238,430.0,5.0,20.0,50.0,2.0,17.0,300.0
239,430.0,5.0,20.0,50.0,2.0,17.0,300.0
240,430.0,5.0,20.0,50.0,2.0,17.0,300.0
241,430.0,5.0,20.0,50.0,6.0,17.0,300.0
242,430.0,5.0,20.0,50.0,2.0,2.0,300.0
243,430.0,5.0,20.0,50.0,2.0,2.0,300.0
244,480.0,20.0,20.0,50.0,6.0,17.0,300.0
245,480.0,20.0,20.0,50.0,2.0,2.0,300.0
246,350.0,5.0,20.0,30.0,6.0,2.0,300.0
247,430.0,5.0,20.0,50.0,2.0,2.0,300.0
248,430.0,5.0,20.0,50.0,2.0,17.0,300.0
249,430.0,5.0,20.0,50.0,2.0,2.0,300.0
250,480.0,20.0,20.0,50.0,2.0,2.0,300.0
251,480.0,20.0,20.0,50.0,6.0,17.0,300.0
252,430.0,5.0,20.0,50.0,2.0,2.0,300.0
253,480.0,20.0,20.0,50.0,2.0,17.0,300.0
254,400.0,20.0,20.0,30.0,2.0,2.0,300.0
255,400.0,20.0,20.0,30.0,6.0,2.0,300.0
256,480.0,20.0,20.0,50.0,2.0,17.0,300.0
257,350.0,5.0,20.0,30.0,2.0,2.0,300.0
258,300.0,20.0,8.0,30.0,2.0,2.0,300.0
259,480.0,20.0,20.0,50.0,6.0,17.0,300.0
260,480.0,20.0,20.0,50.0,2.0,2.0,300.0
261,480.0,20.0,20.0,50.0,2.0,17.0,300.0
262,350.0,5.0,20.0,30.0,2.0,2.0,300.0
263,400.0,20.0,20.0,30.0,2.0,2.0,300.0
264,480.0,20.0,20.0,50.0,6.0,2.0,300.0
265,250.0,5.0,8.0,30.0,6.0,2.0,300.0
266,480.0,20.0,20.0,50.0,6.0,2.0,300.0
267,430.0,5.0,20.0,50.0,2.0,2.0,300.0
268,330.0,5.0,8.0,50.0,6.0,17.0,300.0
269,480.0,20.0,20.0,50.0,2.0,17.0,300.0
270,400.0,20.0,20.0,30.0,2.0,2.0,300.0
271,480.0,20.0,20.0,50.0,6.0,2.0,300.0
272,430.0,5.0,20.0,50.0,6.0,17.0,300.0
273,400.0,20.0,20.0,30.0,2.0,2.0,300.0
274,430.0,5.0,20.0,50.0,6.0,17.0,300.0
275,430.0,5.0,20.0,50.0,2.0,2.0,300.0
276,400.0,20.0,20.0,30.0,2.0,2.0,300.0
277,400.0,20.0,20.0,30.0,2.0,2.0,300.0
278,430.0,5.0,20.0,50.0,2.0,17.0,300.0
279,250.0,5.0,8.0,30.0,2.0,2.0,300.0
280,400.0,20.0,20.0,30.0,2.0,2.0,300.0
281,400.0,20.0,20.0,30.0,2.0,2.0,300.0
282,480.0,20.0,20.0,50.0,6.0,2.0,300.0
283,480.0,20.0,20.0,50.0,2.0,2.0,300.0
284,250.0,5.0,8.0,30.0,2.0,2.0,300.0
285,430.0,5.0,20.0,50.0,2.0,2.0,300.0
286,400.0,20.0,20.0,30.0,2.0,2.0,300.0
287,430.0,5.0,20.0,50.0,2.0,17.0,300.0
288,250.0,5.0,8.0,30.0,2.0,2.0,300.0
289,480.0,20.0,20.0,50.0,2.0,2.0,300.0
290,480.0,20.0,20.0,50.0,2.0,17.0,300.0
291,480.0,20.0,20.0,50.0,2.0,2.0,300.0
292,480.0,20.0,20.0,50.0,2.0,2.0,300.0
293,480.0,20.0,20.0,50.0,2.0,2.0,300.0
294,480.0,20.0,20.0,50.0,6.0,2.0,300.0
295,380.0,20.0,8.0,50.0,6.0,2.0,300.0
296,330.0,5.0,8.0,50.0,2.0,2.0,300.0
297,250.0,5.0,8.0,30.0,6.0,2.0,300.0
298,350.0,5.0,20.0,30.0,6.0,2.0,300.0
299,430.0,5.0,20.0,50.0,2.0,2.0,300.0
300,480.0,20.0,20.0,50.0,2.0,17.0,300.0
301,480.0,20.0,20.0,50.0,2.0,17.0,300.0
302,350.0,5.0,20.0,30.0,2.0,2.0,300.0
303,400.0,20.0,20.0,30.0,2.0,2.0,300.0
304,480.0,20.0,20.0,50.0,2.0,17.0,300.0
305,430.0,5.0,20.0,50.0,2.0,2.0,300.0
306,480.0,20.0,20.0,50.0,2.0,17.0,300.0
307,250.0,5.0,8.0,30.0,2.0,2.0,300.0
308,430.0,5.0,20.0,50.0,6.0,2.0,300.0
309,430.0,5.0,20.0,50.0,2.0,17.0,300.0
310,350.0,5.0,20.0,30.0,6.0,2.0,300.0
311,350.0,5.0,20.0,30.0,6.0,2.0,300.0
312,480.0,20.0,20.0,50.0,2.0,2.0,300.0
313,350.0,5.0,20.0,30.0,2.0,2.0,300.0
314,480.0,20.0,20.0,50.0,2.0,2.0,300.0
315,350.0,5.0,20.0,30.0,2.0,2.0,300.0
316,430.0,5.0,20.0,50.0,6.0,17.0,300.0
317,430.0,5.0,20.0,50.0,2.0,2.0,300.0
318,430.0,5.0,20.0,50.0,2.0,2.0,300.0
319,330.0,5.0,8.0,50.0,2.0,17.0,300.0
320,380.0,20.0,8.0,50.0,2.0,2.0,300.0
321,400.0,20.0,20.0,30.0,2.0,2.0,300.0
322,350.0,5.0,20.0,30.0,2.0,2.0,300.0
323,430.0,5.0,20.0,50.0,2.0,2.0,300.0
324,430.0,5.0,20.0,50.0,2.0,2.0,300.0
325,350.0,5.0,20.0,30.0,2.0,2.0,300.0
326,350.0,5.0,20.0,30.0,6.0,2.0,300.0
327,400.0,20.0,20.0,30.0,2.0,2.0,300.0
328,350.0,5.0,20.0,30.0,2.0,2.0,300.0
329,380.0,20.0,8.0,50.0,2.0,17.0,300.0
330,400.0,20.0,20.0,30.0,6.0,2.0,300.0
331,330.0,5.0,8.0,50.0,2.0,2.0,300.0
332,480.0,20.0,20.0,50.0,6.0,2.0,300.0
333,480.0,20.0,20.0,50.0,6.0,2.0,300.0
334,400.0,20.0,20.0,30.0,2.0,2.0,300.0
335,400.0,20.0,20.0,30.0,2.0,2.0,300.0
336,480.0,20.0,20.0,50.0,2.0,17.0,300.0
337,400.0,20.0,20.0,30.0,2.0,2.0,300.0
338,480.0,20.0,20.0,50.0,2.0,2.0,300.0
339,400.0,20.0,20.0,30.0,2.0,2.0,300.0
340,400.0,20.0,20.0,30.0,6.0,2.0,300.0
341,480.0,20.0,20.0,50.0,2.0,17.0,300.0
342,250.0,5.0,8.0,30.0,2.0,2.0,300.0
343,480.0,20.0,20.0,50.0,2.0,2.0,300.0
344,250.0,5.0,8.0,30.0,2.0,2.0,300.0
345,430.0,5.0,20.0,50.0,2.0,17.0,300.0
346,330.0,5.0,8.0,50.0,2.0,17.0,300.0
347,330.0,5.0,8.0,50.0,2.0,17.0,300.0
348,250.0,5.0,8.0,30.0,6.0,2.0,300.0
349,400.0,20.0,20.0,30.0,2.0,2.0,300.0
350,480.0,20.0,20.0,50.0,2.0,2.0,300.0
351,480.0,20.0,20.0,50.0,6.0,17.0,300.0
352,330.0,5.0,8.0,50.0,2.0,17.0,300.0
353,430.0,5.0,20.0,50.0,2.0,2.0,300.0
354,480.0,20.0,20.0,50.0,6.0,17.0,300.0
355,430.0,5.0,20.0,50.0,2.0,17.0,300.0
356,480.0,20.0,20.0,50.0,2.0,17.0,300.0
357,350.0,5.0,20.0,30.0,2.0,2.0,300.0
358,400.0,20.0,20.0,30.0,2.0,2.0,300.0
359,430.0,5.0,20.0,50.0,2.0,17.0,300.0
360,350.0,5.0,20.0,30.0,2.0,2.0,300.0
361,350.0,5.0,20.0,30.0,2.0,2.0,300.0
362,350.0,5.0,20.0,30.0,2.0,2.0,300.0
363,430.0,5.0,20.0,50.0,2.0,2.0,300.0
364,400.0,20.0,20.0,30.0,6.0,2.0,300.0
365,430.0,5.0,20.0,50.0,2.0,17.0,300.0
366,350.0,5.0,20.0,30.0,2.0,2.0,300.0
367,480.0,20.0,20.0,50.0,6.0,17.0,300.0
368,400.0,20.0,20.0,30.0,2.0,2.0,300.0
369,430.0,5.0,20.0,50.0,2.0,2.0,300.0
370,480.0,20.0,20.0,50.0,2.0,17.0,300.0
371,480.0,20.0,20.0,50.0,2.0,17.0,300.0
372,430.0,5.0,20.0,50.0,2.0,2.0,300.0
373,330.0,5.0,8.0,50.0,2.0,2.0,300.0
374,400.0,20.0,20.0,30.0,2.0,2.0,300.0
375,400.0,20.0,20.0,30.0,2.0,2.0,300.0
376,430.0,5.0,20.0,50.0,2.0,2.0,300.0
377,430.0,5.0,20.0,50.0,2.0,2.0,300.0
378,480.0,20.0,20.0,50.0,6.0,17.0,300.0
379,350.0,5.0,20.0,30.0,2.0,2.0,300.0
380,430.0,5.0,20.0,50.0,2.0,17.0,300.0
381,300.0,20.0,8.0,30.0,6.0,2.0,300.0
382,480.0,20.0,20.0,50.0,2.0,17.0,300.0
383,380.0,20.0,8.0,50.0,6.0,17.0,300.0
384,400.0,20.0,20.0,30.0,6.0,2.0,300.0
385,350.0,5.0,20.0,30.0,2.0,2.0,300.0
386,400.0,20.0,20.0,30.0,2.0,2.0,300.0
387,400.0,20.0,20.0,30.0,6.0,2.0,300.0
388,400.0,20.0,20.0,30.0,6.0,2.0,300.0
389,400.0,20.0,20.0,30.0,2.0,2.0,300.0
390,350.0,5.0,20.0,30.0,2.0,2.0,300.0
391,480.0,20.0,20.0,50.0,2.0,2.0,300.0
392,480.0,20.0,20.0,50.0,2.0,2.0,300.0
393,430.0,5.0,20.0,50.0,6.0,2.0,300.0
394,400.0,20.0,20.0,30.0,6.0,2.0,300.0
395,400.0,20.0,20.0,30.0,2.0,2.0,300.0
396,480.0,20.0,20.0,50.0,6.0,2.0,300.0
397,400.0,20.0,20.0,30.0,2.0,2.0,300.0
398,400.0,20.0,20.0,30.0,2.0,2.0,300.0
399,330.0,5.0,8.0,50.0,2.0,17.0,300.0
400,430.0,5.0,20.0,50.0,2.0,2.0,300.0
401,380.0,20.0,8.0,50.0,2.0,17.0,300.0
402,250.0,5.0,8.0,30.0,2.0,2.0,300.0
403,350.0,5.0,20.0,30.0,2.0,2.0,300.0
404,350.0,5.0,20.0,30.0,2.0,2.0,300.0
405,400.0,20.0,20.0,30.0,2.0,2.0,300.0
406,430.0,5.0,20.0,50.0,2.0,17.0,300.0
407,380.0,20.0,8.0,50.0,2.0,17.0,300.0
408,350.0,5.0,20.0,30.0,6.0,2.0,300.0
409,400.0,20.0,20.0,30.0,6.0,2.0,300.0
410,480.0,20.0,20.0,50.0,2.0,2.0,300.0
411,400.0,20.0,20.0,30.0,2.0,2.0,300.0
412,400.0,20.0,20.0,30.0,2.0,2.0,300.0
413,430.0,5.0,20.0,50.0,2.0,17.0,300.0
414,480.0,20.0,20.0,50.0,2.0,2.0,300.0
415,480.0,20.0,20.0,50.0,6.0,17.0,300.0
416,480.0,20.0,20.0,50.0,6.0,17.0,300.0
417,430.0,5.0,20.0,50.0,2.0,2.0,300.0
418,430.0,5.0,20.0,50.0,2.0,2.0,300.0
419,430.0,5.0,20.0,50.0,6.0,2.0,300.0
420,400.0,20.0,20.0,30.0,2.0,2.0,300.0
421,480.0,20.0,20.0,50.0,6.0,17.0,300.0
422,430.0,5.0,20.0,50.0,2.0,2.0,300.0
423,430.0,5.0,20.0,50.0,6.0,2.0,300.0
424,350.0,5.0,20.0,30.0,6.0,2.0,300.0
425,300.0,20.0,8.0,30.0,2.0,2.0,300.0
426,300.0,20.0,8.0,30.0,2.0,2.0,300.0
427,430.0,5.0,20.0,50.0,6.0,2.0,300.0
428,400.0,20.0,20.0,30.0,2.0,2.0,300.0
429,400.0,20.0,20.0,30.0,2.0,2.0,300.0
430,480.0,20.0,20.0,50.0,2.0,17.0,300.0
431,480.0,20.0,20.0,50.0,2.0,17.0,300.0
432,350.0,5.0,20.0,30.0,2.0,2.0,300.0
433,480.0,20.0,20.0,50.0,6.0,2.0,300.0
434,430.0,5.0,20.0,50.0,2.0,17.0,300.0
435,430.0,5.0,20.0,50.0,2.0,2.0,300.0
436,400.0,20.0,20.0,30.0,2.0,2.0,300.0
437,430.0,5.0,20.0,50.0,2.0,17.0,300.0
438,430.0,5.0,20.0,50.0,2.0,2.0,300.0
439,430.0,5.0,20.0,50.0,6.0,17.0,300.0
440,250.0,5.0,8.0,30.0,2.0,2.0,300.0
441,480.0,20.0,20.0,50.0,2.0,2.0,300.0
442,430.0,5.0,20.0,50.0,2.0,2.0,300.0
443,480.0,20.0,20.0,50.0,2.0,17.0,300.0
444,430.0,5.0,20.0,50.0,6.0,2.0,300.0
445,330.0,5.0,8.0,50.0,2.0,2.0,300.0
446,430.0,5.0,20.0,50.0,2.0,17.0,300.0
447,400.0,20.0,20.0,30.0,2.0,2.0,300.0
448,430.0,5.0,20.0,50.0,2.0,2.0,300.0
449,480.0,20.0,20.0,50.0,6.0,2.0,300.0
450,400.0,20.0,20.0,30.0,2.0,2.0,300.0
451,430.0,5.0,20.0,50.0,6.0,17.0,300.0
452,480.0,20.0,20.0,50.0,2.0,2.0,300.0
453,400.0,20.0,20.0,30.0,2.0,2.0,300.0
454,430.0,5.0,20.0,50.0,6.0,2.0,300.0
455,400.0,20.0,20.0,30.0,2.0,2.0,300.0
456,350.0,5.0,20.0,30.0,2.0,2.0,300.0
457,300.0,20.0,8.0,30.0,2.0,2.0,300.0
458,480.0,20.0,20.0,50.0,2.0,17.0,300.0
459,430.0,5.0,20.0,50.0,2.0,2.0,300.0
460,430.0,5.0,20.0,50.0,6.0,2.0,300.0
461,480.0,20.0,20.0,50.0,6.0,2.0,300.0
462,350.0,5.0,20.0,30.0,2.0,2.0,300.0
463,480.0,20.0,20.0,50.0,6.0,2.0,300.0
