recipe_id,recipe_name,ingredients,steps,cuisine,diet_type,calories,protein_g,fat_g,carbs_g,url
11,Salmon with Potato & Asparagus,"salmon fillet, potato, asparagus, spinach, carrots, avocado, banana","Prepare the salmon fillet. Cook potato as appropriate. Combine with asparagus, spinach, carrots and avocado, banana. Season to taste and serve.",Global,weight_gain,1050,39.9,41.8,128.6,https://tse2.mm.bing.net/th?q=Salmon%20with%20Potato%20%26%20Asparagus%20food&w=400&h=400&c=7
12,Black Bean with Potato & Mixed salad greens,"black beans, potato, mixed salad greens, kale, garlic","Prepare the black beans. Cook potato as appropriate. Combine with mixed salad greens, kale and garlic. Season to taste and serve.",Global,weight_loss,449,25.8,4.8,75.7,https://tse2.mm.bing.net/th?q=Black%20Bean%20with%20Potato%20%26%20Mixed%20salad%20greens%20food&w=400&h=400&c=7
13,Oat with Rolled oats & Spinach,"oats, rolled oats, spinach, bell pepper, berries, nuts","Prepare the oats. Cook rolled oats as appropriate. Combine with spinach, bell pepper and berries, nuts. Season to taste and serve.",Indian,maintenance,770,21,26,113,https://tse2.mm.bing.net/th?q=Oat%20with%20Rolled%20oats%20%26%20Spinach%20food&w=400&h=400&c=7
14,Tuna & Spinach Salad,"tuna steak, spinach, kale, garlic, nuts","Prepare the tuna steak. Cook spinach as appropriate. Combine with spinach, kale and garlic, nuts. Season to taste and serve.",American,weight_loss,546,56,20.9,33.4,https://tse2.mm.bing.net/th?q=Tuna%20%26%20Spinach%20Salad%20food&w=400&h=400&c=7
15,Salmon & Bell pepper Salad,"salmon fillet, bell pepper, spinach, honey, garlic","Prepare the salmon fillet. Cook bell pepper as appropriate. Combine with bell pepper, spinach and honey, garlic. Season to taste and serve.",American,weight_loss,474,33.6,19,42.2,https://tse2.mm.bing.net/th?q=Salmon%20%26%20Bell%20pepper%20Salad%20food&w=400&h=400&c=7
16,Turkey with Potato & Spinach,"turkey mince, potato, spinach, nuts, lemon, chia seeds","Prepare the turkey mince. Cook potato as appropriate. Combine with spinach and nuts, lemon, chia seeds. Season to taste and serve.",Asian,weight_gain,950,57.8,38.5,93.2,https://tse2.mm.bing.net/th?q=Turkey%20with%20Potato%20%26%20Spinach%20food&w=400&h=400&c=7
17,Black Bean & Bell pepper Salad,"black beans, bell pepper, zucchini, yogurt, ginger, soy sauce","Prepare the black beans. Cook bell pepper as appropriate. Combine with bell pepper, zucchini and yogurt, ginger, soy sauce. Season to taste and serve.",Italian,maintenance,578,36,14,77,https://tse2.mm.bing.net/th?q=Black%20Bean%20%26%20Bell%20pepper%20Salad%20food&w=400&h=400&c=7
18,Chickpea with Quinoa & Asparagus,"chickpeas, quinoa, asparagus, berries",Prepare the chickpeas. Cook quinoa as appropriate. Combine with asparagus and berries. Season to taste and serve.,Mexican,weight_gain,767,28.4,15.4,128.6,https://tse2.mm.bing.net/th?q=Chickpea%20with%20Quinoa%20%26%20Asparagus%20food&w=400&h=400&c=7
19,Turkey with Brown rice & Spinach,"turkey mince, brown rice, spinach, zucchini, soy sauce","Prepare the turkey mince. Cook brown rice as appropriate. Combine with spinach, zucchini and soy sauce. Season to taste and serve.",Global,weight_loss,576,47,16.1,60.7,https://tse2.mm.bing.net/th?q=Turkey%20with%20Brown%20rice%20%26%20Spinach%20food&w=400&h=400&c=7
20,Chickpea & Spinach Salad,"chickpeas, spinach, banana",Prepare the chickpeas. Cook spinach as appropriate. Combine with spinach and banana. Season to taste and serve.,Italian,weight_gain,696,29.4,17.6,105,https://tse2.mm.bing.net/th?q=Chickpea%20%26%20Spinach%20Salad%20food&w=400&h=400&c=7
21,Oat with Rolled oats & Broccoli,"oats, rolled oats, broccoli, yogurt, sesame oil","Prepare the oats. Cook rolled oats as appropriate. Combine with broccoli and yogurt, sesame oil. Season to taste and serve.",Mediterranean,weight_loss,715,29.1,31.3,79.2,https://tse2.mm.bing.net/th?q=Oat%20with%20Rolled%20oats%20%26%20Broccoli%20food&w=400&h=400&c=7
22,Lentil with Sweet potato & Spinach,"lentils, sweet potato, spinach, honey, chia seeds","Prepare the lentils. Cook sweet potato as appropriate. Combine with spinach and honey, chia seeds. Season to taste and serve.",Mediterranean,maintenance,761,32,13,129,https://tse2.mm.bing.net/th?q=Lentil%20with%20Sweet%20potato%20%26%20Spinach%20food&w=400&h=400&c=7
23,Tofu with Sweet potato & Mixed salad greens,"tofu, sweet potato, mixed salad greens, garlic",Prepare the tofu. Cook sweet potato as appropriate. Combine with mixed salad greens and garlic. Season to taste and serve.,Italian,weight_loss,501,33.6,14.2,59.8,https://tse2.mm.bing.net/th?q=Tofu%20with%20Sweet%20potato%20%26%20Mixed%20salad%20greens%20food&w=400&h=400&c=7
24,Black Bean with Sweet potato & Bell pepper,"black beans, sweet potato, bell pepper, ginger, olive oil","Prepare the black beans. Cook sweet potato as appropriate. Combine with bell pepper and ginger, olive oil. Season to taste and serve.",American,maintenance,666,23,18,103,https://tse2.mm.bing.net/th?q=Black%20Bean%20with%20Sweet%20potato%20%26%20Bell%20pepper%20food&w=400&h=400&c=7
25,Chickpea with Potato & Broccoli,"chickpeas, potato, broccoli, lemon, garlic, honey","Prepare the chickpeas. Cook potato as appropriate. Combine with broccoli and lemon, garlic, honey. Season to taste and serve.",Mediterranean,maintenance,727,28,15,120,https://tse2.mm.bing.net/th?q=Chickpea%20with%20Potato%20%26%20Broccoli%20food&w=400&h=400&c=7
26,Quinoa with Potato & Spinach,"quinoa, potato, spinach, banana, berries","Prepare the quinoa. Cook potato as appropriate. Combine with spinach and banana, berries. Season to taste and serve.",Middle Eastern,maintenance,752,23,12,138,https://tse2.mm.bing.net/th?q=Quinoa%20with%20Potato%20%26%20Spinach%20food&w=400&h=400&c=7
27,Tuna with Rolled oats & Zucchini,"tuna steak, rolled oats, zucchini, bell pepper, kale, olive oil","Prepare the tuna steak. Cook rolled oats as appropriate. Combine with zucchini, bell pepper, kale and olive oil. Season to taste and serve.",Global,weight_gain,854,44.1,27.5,107.4,https://tse2.mm.bing.net/th?q=Tuna%20with%20Rolled%20oats%20%26%20Zucchini%20food&w=400&h=400&c=7
28,Turkey with Quinoa & Spinach,"turkey mince, quinoa, spinach, carrots, soy sauce, garlic","Prepare the turkey mince. Cook quinoa as appropriate. Combine with spinach, carrots and soy sauce, garlic. Season to taste and serve.",Global,maintenance,601,48,13,73,https://tse2.mm.bing.net/th?q=Turkey%20with%20Quinoa%20%26%20Spinach%20food&w=400&h=400&c=7
29,Tuna & Kale Salad,"tuna steak, kale, lemon, honey","Prepare the tuna steak. Cook kale as appropriate. Combine with kale and lemon, honey. Season to taste and serve.",Asian,maintenance,363,38,7,37,https://tse2.mm.bing.net/th?q=Tuna%20%26%20Kale%20Salad%20food&w=400&h=400&c=7
30,Black Bean with Brown rice & Mixed salad greens,"black beans, brown rice, mixed salad greens, olive oil, honey","Prepare the black beans. Cook brown rice as appropriate. Combine with mixed salad greens and olive oil, honey. Season to taste and serve.",Middle Eastern,maintenance,781,27,21,121,https://tse2.mm.bing.net/th?q=Black%20Bean%20with%20Brown%20rice%20%26%20Mixed%20salad%20greens%20food&w=400&h=400&c=7
31,Black Bean & Broccoli Salad,"black beans, broccoli, carrots, mixed salad greens, garlic, chia seeds, olive oil","Prepare the black beans. Cook broccoli as appropriate. Combine with broccoli, carrots, mixed salad greens and garlic, chia seeds, olive oil. Season to taste and serve.",Middle Eastern,weight_gain,751,29.4,35.2,79.1,https://tse2.mm.bing.net/th?q=Black%20Bean%20%26%20Broccoli%20Salad%20food&w=400&h=400&c=7
32,Chicken with Brown rice & Bell pepper,"chicken breast, brown rice, bell pepper, asparagus, banana","Prepare the chicken breast. Cook brown rice as appropriate. Combine with bell pepper, asparagus and banana. Season to taste and serve.",Mediterranean,weight_loss,637,48.2,11.4,85.4,https://tse2.mm.bing.net/th?q=Chicken%20with%20Brown%20rice%20%26%20Bell%20pepper%20food&w=400&h=400&c=7
33,Tofu & Mixed salad greens Salad,"tofu, mixed salad greens, garlic",Prepare the tofu. Cook mixed salad greens as appropriate. Combine with mixed salad greens and garlic. Season to taste and serve.,Middle Eastern,weight_gain,349,23.1,16.5,27.1,https://tse2.mm.bing.net/th?q=Tofu%20%26%20Mixed%20salad%20greens%20Salad%20food&w=400&h=400&c=7
34,Salmon with Brown rice & Bell pepper,"salmon fillet, brown rice, bell pepper, spinach, sesame oil, soy sauce","Prepare the salmon fillet. Cook brown rice as appropriate. Combine with bell pepper, spinach and sesame oil, soy sauce. Season to taste and serve.",Mexican,maintenance,783,41,35,76,https://tse2.mm.bing.net/th?q=Salmon%20with%20Brown%20rice%20%26%20Bell%20pepper%20food&w=400&h=400&c=7
35,Salmon & Asparagus Salad,"salmon fillet, asparagus, carrots, avocado, banana, chia seeds","Prepare the salmon fillet. Cook asparagus as appropriate. Combine with asparagus, carrots and avocado, banana, chia seeds. Season to taste and serve.",Middle Eastern,maintenance,819,35,47,64,https://tse2.mm.bing.net/th?q=Salmon%20%26%20Asparagus%20Salad%20food&w=400&h=400&c=7
36,Salmon with Whole wheat pasta & Asparagus,"salmon fillet, whole wheat pasta, asparagus, bell pepper, zucchini, lemon, avocado, berries","Prepare the salmon fillet. Cook whole wheat pasta as appropriate. Combine with asparagus, bell pepper, zucchini and lemon, avocado, berries. Season to taste and serve.",Mexican,weight_gain,1024,45.1,40.7,119.2,https://tse2.mm.bing.net/th?q=Salmon%20with%20Whole%20wheat%20pasta%20%26%20Asparagus%20food&w=400&h=400&c=7
37,Black Bean with Rolled oats & Bell pepper,"black beans, rolled oats, bell pepper, kale, carrots, banana","Prepare the black beans. Cook rolled oats as appropriate. Combine with bell pepper, kale, carrots and banana. Season to taste and serve.",Middle Eastern,maintenance,826,28,14,147,https://tse2.mm.bing.net/th?q=Black%20Bean%20with%20Rolled%20oats%20%26%20Bell%20pepper%20food&w=400&h=400&c=7
38,Tuna with Whole wheat pasta & Zucchini,"tuna steak, whole wheat pasta, zucchini, carrots, ginger","Prepare the tuna steak. Cook whole wheat pasta as appropriate. Combine with zucchini, carrots and ginger. Season to taste and serve.",Italian,weight_gain,592,44.1,11,79.1,https://tse2.mm.bing.net/th?q=Tuna%20with%20Whole%20wheat%20pasta%20%26%20Zucchini%20food&w=400&h=400&c=7
39,Black Bean & Zucchini Salad,"black beans, zucchini, spinach, honey, berries","Prepare the black beans. Cook zucchini as appropriate. Combine with zucchini, spinach and honey, berries. Season to taste and serve.",Middle Eastern,weight_gain,621,30.5,7.7,107.4,https://tse2.mm.bing.net/th?q=Black%20Bean%20%26%20Zucchini%20Salad%20food&w=400&h=400&c=7
40,Chickpea & Kale Salad,"chickpeas, kale, asparagus, broccoli, chia seeds, banana","Prepare the chickpeas. Cook kale as appropriate. Combine with kale, asparagus, broccoli and chia seeds, banana. Season to taste and serve.",Middle Eastern,weight_loss,693,32.5,19.9,95.9,https://tse2.mm.bing.net/th?q=Chickpea%20%26%20Kale%20Salad%20food&w=400&h=400&c=7
41,Turkey with Brown rice & Carrots,"turkey mince, brown rice, carrots, honey, lemon, nuts","Prepare the turkey mince. Cook brown rice as appropriate. Combine with carrots and honey, lemon, nuts. Season to taste and serve.",Italian,weight_gain,959,49.4,36.3,108.6,https://tse2.mm.bing.net/th?q=Turkey%20with%20Brown%20rice%20%26%20Carrots%20food&w=400&h=400&c=7
42,Turkey with Rolled oats & Spinach,"turkey mince, rolled oats, spinach, ginger, garlic","Prepare the turkey mince. Cook rolled oats as appropriate. Combine with spinach and ginger, garlic. Season to taste and serve.",Global,weight_loss,637,49.3,15.2,75.7,https://tse2.mm.bing.net/th?q=Turkey%20with%20Rolled%20oats%20%26%20Spinach%20food&w=400&h=400&c=7
43,Tofu & Asparagus Salad,"tofu, asparagus, mixed salad greens, bell pepper, yogurt, chia seeds, avocado","Prepare the tofu. Cook asparagus as appropriate. Combine with asparagus, mixed salad greens, bell pepper and yogurt, chia seeds, avocado. Season to taste and serve.",Global,weight_gain,939,43.1,49.5,80.2,https://tse2.mm.bing.net/th?q=Tofu%20%26%20Asparagus%20Salad%20food&w=400&h=400&c=7
44,Black Bean with Quinoa & Carrots,"black beans, quinoa, carrots, broccoli, soy sauce, ginger, honey","Prepare the black beans. Cook quinoa as appropriate. Combine with carrots, broccoli and soy sauce, ginger, honey. Season to taste and serve.",Middle Eastern,weight_loss,635,43.7,8.5,95.9,https://tse2.mm.bing.net/th?q=Black%20Bean%20with%20Quinoa%20%26%20Carrots%20food&w=400&h=400&c=7
45,Tofu with Rolled oats & Bell pepper,"tofu, rolled oats, bell pepper, avocado",Prepare the tofu. Cook rolled oats as appropriate. Combine with bell pepper and avocado. Season to taste and serve.,Italian,weight_gain,1002,37.8,47.3,106.2,https://tse2.mm.bing.net/th?q=Tofu%20with%20Rolled%20oats%20%26%20Bell%20pepper%20food&w=400&h=400&c=7
46,Turkey & Broccoli Salad,"turkey mince, broccoli, mixed salad greens, avocado, nuts, olive oil","Prepare the turkey mince. Cook broccoli as appropriate. Combine with broccoli, mixed salad greens and avocado, nuts, olive oil. Season to taste and serve.",Middle Eastern,weight_gain,1118,52.5,71.5,66.1,https://tse2.mm.bing.net/th?q=Turkey%20%26%20Broccoli%20Salad%20food&w=400&h=400&c=7
47,Black Bean & Carrots Salad,"black beans, carrots, soy sauce",Prepare the black beans. Cook carrots as appropriate. Combine with carrots and soy sauce. Season to taste and serve.,Italian,weight_gain,458,27.3,9.9,64.9,https://tse2.mm.bing.net/th?q=Black%20Bean%20%26%20Carrots%20Salad%20food&w=400&h=400&c=7
48,Tofu & Broccoli Salad,"tofu, broccoli, berries, honey","Prepare the tofu. Cook broccoli as appropriate. Combine with broccoli and berries, honey. Season to taste and serve.",American,weight_loss,420,32.5,12.3,44.9,https://tse2.mm.bing.net/th?q=Tofu%20%26%20Broccoli%20Salad%20food&w=400&h=400&c=7
49,Tuna with Quinoa & Asparagus,"tuna steak, quinoa, asparagus, kale, soy sauce, avocado","Prepare the tuna steak. Cook quinoa as appropriate. Combine with asparagus, kale and soy sauce, avocado. Season to taste and serve.",Indian,maintenance,765,46,33,71,https://tse2.mm.bing.net/th?q=Tuna%20with%20Quinoa%20%26%20Asparagus%20food&w=400&h=400&c=7
50,Oat with Rolled oats & Broccoli,"oats, rolled oats, broccoli, ginger",Prepare the oats. Cook rolled oats as appropriate. Combine with broccoli and ginger. Season to taste and serve.,American,maintenance,519,16,11,89,https://tse2.mm.bing.net/th?q=Oat%20with%20Rolled%20oats%20%26%20Broccoli%20food&w=400&h=400&c=7
51,Oat with Quinoa & Zucchini,"oats, quinoa, zucchini, mixed salad greens, garlic, berries","Prepare the oats. Cook quinoa as appropriate. Combine with zucchini, mixed salad greens and garlic, berries. Season to taste and serve.",Mediterranean,maintenance,741,22,17,125,https://tse2.mm.bing.net/th?q=Oat%20with%20Quinoa%20%26%20Zucchini%20food&w=400&h=400&c=7
52,Quinoa with Whole wheat pasta & Mixed salad greens,"quinoa, whole wheat pasta, mixed salad greens, bell pepper, asparagus, lemon","Prepare the quinoa. Cook whole wheat pasta as appropriate. Combine with mixed salad greens, bell pepper, asparagus and lemon. Season to taste and serve.",Mexican,weight_loss,619,26.9,9.5,106.5,https://tse2.mm.bing.net/th?q=Quinoa%20with%20Whole%20wheat%20pasta%20%26%20Mixed%20salad%20greens%20food&w=400&h=400&c=7
53,Chicken with Sweet potato & Asparagus,"chicken breast, sweet potato, asparagus, broccoli, zucchini, sesame oil, olive oil, avocado","Prepare the chicken breast. Cook sweet potato as appropriate. Combine with asparagus, broccoli, zucchini and sesame oil, olive oil, avocado. Season to taste and serve.",Global,weight_gain,1162,48.3,70.4,83.8,https://tse2.mm.bing.net/th?q=Chicken%20with%20Sweet%20potato%20%26%20Asparagus%20food&w=400&h=400&c=7
54,Lentil with Potato & Zucchini,"lentils, potato, zucchini, carrots, mixed salad greens, nuts, avocado","Prepare the lentils. Cook potato as appropriate. Combine with zucchini, carrots, mixed salad greens and nuts, avocado. Season to taste and serve.",Indian,weight_gain,1122,39.9,45.1,139.2,https://tse2.mm.bing.net/th?q=Lentil%20with%20Potato%20%26%20Zucchini%20food&w=400&h=400&c=7
55,Chickpea with Sweet potato & Mixed salad greens,"chickpeas, sweet potato, mixed salad greens, kale, broccoli, sesame oil, garlic","Prepare the chickpeas. Cook sweet potato as appropriate. Combine with mixed salad greens, kale, broccoli and sesame oil, garlic. Season to taste and serve.",Global,weight_loss,765,33.6,26.6,97.7,https://tse2.mm.bing.net/th?q=Chickpea%20with%20Sweet%20potato%20%26%20Mixed%20salad%20greens%20food&w=400&h=400&c=7
56,Quinoa & Broccoli Salad,"quinoa, broccoli, zucchini, lemon","Prepare the quinoa. Cook broccoli as appropriate. Combine with broccoli, zucchini and lemon. Season to taste and serve.",Mexican,maintenance,462,21,10,72,https://tse2.mm.bing.net/th?q=Quinoa%20%26%20Broccoli%20Salad%20food&w=400&h=400&c=7
57,Oat & Broccoli Salad,"oats, broccoli, carrots, ginger, avocado","Prepare the oats. Cook broccoli as appropriate. Combine with broccoli, carrots and ginger, avocado. Season to taste and serve.",Mexican,weight_gain,931,22.1,39.6,121.5,https://tse2.mm.bing.net/th?q=Oat%20%26%20Broccoli%20Salad%20food&w=400&h=400&c=7
58,Black Bean with Rolled oats & Asparagus,"black beans, rolled oats, asparagus, kale, carrots, soy sauce, honey","Prepare the black beans. Cook rolled oats as appropriate. Combine with asparagus, kale, carrots and soy sauce, honey. Season to taste and serve.",Indian,weight_loss,681,33.6,14.2,104.7,https://tse2.mm.bing.net/th?q=Black%20Bean%20with%20Rolled%20oats%20%26%20Asparagus%20food&w=400&h=400&c=7
59,Black Bean & Kale Salad,"black beans, kale, spinach, mixed salad greens, nuts, soy sauce, berries","Prepare the black beans. Cook kale as appropriate. Combine with kale, spinach, mixed salad greens and nuts, soy sauce, berries. Season to taste and serve.",Indian,maintenance,663,35,23,79,https://tse2.mm.bing.net/th?q=Black%20Bean%20%26%20Kale%20Salad%20food&w=400&h=400&c=7
60,Tofu with Rolled oats & Kale,"tofu, rolled oats, kale, carrots, broccoli, chia seeds","Prepare the tofu. Cook rolled oats as appropriate. Combine with kale, carrots, broccoli and chia seeds. Season to taste and serve.",Indian,weight_loss,710,43.7,24.7,78.3,https://tse2.mm.bing.net/th?q=Tofu%20with%20Rolled%20oats%20%26%20Kale%20food&w=400&h=400&c=7
61,Quinoa with Sweet potato & Asparagus,"quinoa, sweet potato, asparagus, spinach, soy sauce","Prepare the quinoa. Cook sweet potato as appropriate. Combine with asparagus, spinach and soy sauce. Season to taste and serve.",Global,weight_loss,585,23.5,12.3,95,https://tse2.mm.bing.net/th?q=Quinoa%20with%20Sweet%20potato%20%26%20Asparagus%20food&w=400&h=400&c=7
62,Salmon with Rolled oats & Kale,"salmon fillet, rolled oats, kale, honey",Prepare the salmon fillet. Cook rolled oats as appropriate. Combine with kale and honey. Season to taste and serve.,Indian,weight_loss,734,44.8,25.6,81,https://tse2.mm.bing.net/th?q=Salmon%20with%20Rolled%20oats%20%26%20Kale%20food&w=400&h=400&c=7
63,Black Bean with Sweet potato & Mixed salad greens,"black beans, sweet potato, mixed salad greens, kale, berries, olive oil, honey","Prepare the black beans. Cook sweet potato as appropriate. Combine with mixed salad greens, kale and berries, olive oil, honey. Season to taste and serve.",Mediterranean,maintenance,773,27,21,119,https://tse2.mm.bing.net/th?q=Black%20Bean%20with%20Sweet%20potato%20%26%20Mixed%20salad%20greens%20food&w=400&h=400&c=7
64,Oat with Quinoa & Spinach,"oats, quinoa, spinach, olive oil",Prepare the oats. Cook quinoa as appropriate. Combine with spinach and olive oil. Season to taste and serve.,Italian,weight_gain,953,29.4,34.1,132.2,https://tse2.mm.bing.net/th?q=Oat%20with%20Quinoa%20%26%20Spinach%20food&w=400&h=400&c=7
65,Turkey with Whole wheat pasta & Carrots,"turkey mince, whole wheat pasta, carrots, broccoli, asparagus, soy sauce","Prepare the turkey mince. Cook whole wheat pasta as appropriate. Combine with carrots, broccoli, asparagus and soy sauce. Season to taste and serve.",Mexican,weight_gain,665,53.6,15.4,77.9,https://tse2.mm.bing.net/th?q=Turkey%20with%20Whole%20wheat%20pasta%20%26%20Carrots%20food&w=400&h=400&c=7
66,Tuna & Broccoli Salad,"tuna steak, broccoli, honey",Prepare the tuna steak. Cook broccoli as appropriate. Combine with broccoli and honey. Season to taste and serve.,Indian,maintenance,411,40,11,38,https://tse2.mm.bing.net/th?q=Tuna%20%26%20Broccoli%20Salad%20food&w=400&h=400&c=7
67,Chickpea with Rolled oats & Zucchini,"chickpeas, rolled oats, zucchini, carrots, nuts, honey, lemon","Prepare the chickpeas. Cook rolled oats as appropriate. Combine with zucchini, carrots and nuts, honey, lemon. Season to taste and serve.",American,maintenance,971,35,31,138,https://tse2.mm.bing.net/th?q=Chickpea%20with%20Rolled%20oats%20%26%20Zucchini%20food&w=400&h=400&c=7
68,Turkey & Broccoli Salad,"turkey mince, broccoli, mixed salad greens, asparagus, berries, olive oil","Prepare the turkey mince. Cook broccoli as appropriate. Combine with broccoli, mixed salad greens, asparagus and berries, olive oil. Season to taste and serve.",Asian,weight_gain,627,45.1,29.7,44.8,https://tse2.mm.bing.net/th?q=Turkey%20%26%20Broccoli%20Salad%20food&w=400&h=400&c=7
69,Quinoa with Sweet potato & Carrots,"quinoa, sweet potato, carrots, avocado, sesame oil","Prepare the quinoa. Cook sweet potato as appropriate. Combine with carrots and avocado, sesame oil. Season to taste and serve.",Middle Eastern,maintenance,975,23,47,115,https://tse2.mm.bing.net/th?q=Quinoa%20with%20Sweet%20potato%20%26%20Carrots%20food&w=400&h=400&c=7
70,Tuna with Sweet potato & Broccoli,"tuna steak, sweet potato, broccoli, bell pepper, carrots, soy sauce, sesame oil","Prepare the tuna steak. Cook sweet potato as appropriate. Combine with broccoli, bell pepper, carrots and soy sauce, sesame oil. Season to taste and serve.",Mediterranean,weight_gain,765,53.6,19.8,93.2,https://tse2.mm.bing.net/th?q=Tuna%20with%20Sweet%20potato%20%26%20Broccoli%20food&w=400&h=400&c=7
71,Chickpea with Quinoa & Asparagus,"chickpeas, quinoa, asparagus, zucchini, bell pepper, nuts, olive oil, ginger","Prepare the chickpeas. Cook quinoa as appropriate. Combine with asparagus, zucchini, bell pepper and nuts, olive oil, ginger. Season to taste and serve.",Indian,weight_gain,1231,38.9,55,145.1,https://tse2.mm.bing.net/th?q=Chickpea%20with%20Quinoa%20%26%20Asparagus%20food&w=400&h=400&c=7
72,Salmon with Rolled oats & Bell pepper,"salmon fillet, rolled oats, bell pepper, asparagus, spinach, chia seeds, olive oil","Prepare the salmon fillet. Cook rolled oats as appropriate. Combine with bell pepper, asparagus, spinach and chia seeds, olive oil. Season to taste and serve.",Italian,maintenance,986,41,50,93,https://tse2.mm.bing.net/th?q=Salmon%20with%20Rolled%20oats%20%26%20Bell%20pepper%20food&w=400&h=400&c=7
73,Oat & Zucchini Salad,"oats, zucchini, carrots, soy sauce, avocado, nuts","Prepare the oats. Cook zucchini as appropriate. Combine with zucchini, carrots and soy sauce, avocado, nuts. Season to taste and serve.",Global,weight_gain,1054,30.5,51.7,116.8,https://tse2.mm.bing.net/th?q=Oat%20%26%20Zucchini%20Salad%20food&w=400&h=400&c=7
74,Turkey & Kale Salad,"turkey mince, kale, mixed salad greens, broccoli, honey, avocado","Prepare the turkey mince. Cook kale as appropriate. Combine with kale, mixed salad greens, broccoli and honey, avocado. Season to taste and serve.",Middle Eastern,weight_gain,765,39.9,36.3,69.6,https://tse2.mm.bing.net/th?q=Turkey%20%26%20Kale%20Salad%20food&w=400&h=400&c=7
75,Quinoa with Rolled oats & Kale,"quinoa, rolled oats, kale, bell pepper, nuts, sesame oil, yogurt","Prepare the quinoa. Cook rolled oats as appropriate. Combine with kale, bell pepper and nuts, sesame oil, yogurt. Season to taste and serve.",Italian,weight_gain,1304,42,53.9,162.8,https://tse2.mm.bing.net/th?q=Quinoa%20with%20Rolled%20oats%20%26%20Kale%20food&w=400&h=400&c=7
