Goal,Diet Type,Workout Type,Day,Meal Type,Recipe,Calories (kcal),Protein (g),Carbs (g),Fats (g),Exercise Plan,Instruction,Beauty Goal,Beauty Drink Recommendation,Beauty Food Focus,Beauty Care Instruction,,,url
Weight Maintain,Non-Vegetarian,Home,Day 26,Dinner,Fish Curry,627,19.1,49.7,21.4,HIIT,Weight Maintain focused training,Reduce Pimples,Amla juice,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 8,Snack,Veg Khichdi,443,22.7,54.8,5,HIIT,Weight Loss focused training,Anti-Aging,Beetroot juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 4,Snack,Oats & Fruits,257,17.4,41.3,25.9,HIIT,Weight Loss focused training,Fresh Blood Circulation,Green tea,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 17,Breakfast,Dal & Rice,509,41.1,54.2,28.5,Stretching,Weight Loss focused training,Anti-Aging,Coconut water,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 18,Snack,Dal & Rice,599,29.8,74.5,28.8,Stretching,Weight Loss focused training,Fresh Blood Circulation,Beetroot juice,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 11,Breakfast,Lentil Soup,410,18.4,57,12.4,Stretching,Weight Gain focused training,Reduce Pimples,Warm lemon water,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 5,Dinner,Quinoa Salad,705,35.4,47.9,23.1,Yoga,Weight Loss focused training,Reduce Pimples,Amla juice,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 22,Breakfast,Oats & Fruits,370,13.2,21.7,27.7,HIIT,Weight Gain focused training,Hair Growth,Turmeric milk,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 23,Snack,Egg Omelette,746,37.2,34,15.2,Cardio,Weight Gain focused training,Hair Growth,Carrot juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 10,Dinner,Quinoa Salad,383,33.2,65.5,15,Yoga,Weight Loss focused training,Fresh Blood Circulation,Warm lemon water,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 3,Snack,Chicken Rice,267,23.4,27,25,Strength Training,Weight Loss focused training,Clear Skin,Amla juice,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 13,Lunch,Dal & Rice,598,34.6,89.6,19.8,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Beetroot juice,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 4,Breakfast,Fish Curry,661,28.2,24.9,24.1,Yoga,Weight Gain focused training,Fresh Blood Circulation,Warm lemon water,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 24,Breakfast,Paneer Bowl,385,24.6,72.6,10.4,Stretching,Weight Loss focused training,Glowing Skin,Amla juice,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 12,Dinner,Chickpea Salad,668,18.9,63.2,10.7,Yoga,Weight Loss focused training,Clear Skin,Turmeric milk,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 2,Dinner,Fish Curry,341,39.2,27.2,28.5,Stretching,Weight Gain focused training,Fresh Blood Circulation,Warm lemon water,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 27,Dinner,Vegan Smoothie,284,19.5,45.7,14.7,Stretching,Weight Maintain focused training,Glowing Skin,Carrot juice,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 10,Breakfast,Chickpea Salad,544,17.7,22,21.8,Stretching,Weight Maintain focused training,Hair Growth,Beetroot juice,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 5,Snack,Lentil Soup,273,44.2,54.7,23.3,Strength Training,Weight Maintain focused training,Fresh Blood Circulation,Turmeric milk,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 17,Snack,Vegan Smoothie,535,43.6,76.4,11.7,Yoga,Weight Maintain focused training,Glowing Skin,Coconut water,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 16,Dinner,Oats & Fruits,274,36.2,28.5,29.7,Cardio,Weight Loss focused training,Reduce Pimples,Coconut water,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 4,Breakfast,Paneer Bowl,623,32.5,42.6,16.1,Yoga,Weight Maintain focused training,Glowing Skin,Warm lemon water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 4,Snack,Oats & Fruits,474,12.2,60.7,21.8,Cardio,Weight Loss focused training,Fresh Blood Circulation,Turmeric milk,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 9,Breakfast,Paneer Bowl,372,44.5,20.4,25.2,Strength Training,Weight Loss focused training,Hair Growth,Beetroot juice,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 4,Dinner,Egg Omelette,471,35.4,79,20.8,Cardio,Weight Loss focused training,Fresh Blood Circulation,Coconut water,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 22,Lunch,Vegan Smoothie,345,22.9,54.1,27.5,Cardio,Weight Maintain focused training,Clear Skin,Amla juice,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 19,Breakfast,Oats & Fruits,654,20.1,70.1,14,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Green tea,Fruits & vegetables,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 29,Lunch,Chicken Rice,298,43.7,74,17.1,Yoga,Weight Maintain focused training,Glowing Skin,Beetroot juice,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 28,Dinner,Chicken Rice,482,12.6,84.1,16.7,Strength Training,Weight Maintain focused training,Fresh Blood Circulation,Coconut water,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 13,Lunch,Tofu Stir Fry,633,40.7,24.3,25.6,Cardio,Weight Gain focused training,Glowing Skin,Carrot juice,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 16,Dinner,Chicken Rice,348,18.1,67.1,21.2,Cardio,Weight Maintain focused training,Clear Skin,Coconut water,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 6,Dinner,Paneer Bowl,346,29.3,72.2,12.2,HIIT,Weight Loss focused training,Glowing Skin,Turmeric milk,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 28,Breakfast,Oats & Fruits,251,11.5,47.4,9.5,Stretching,Weight Gain focused training,Hair Growth,Warm lemon water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 23,Dinner,Chickpea Salad,603,21.2,48.4,11.1,Cardio,Weight Loss focused training,Reduce Pimples,Amla juice,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 23,Dinner,Chicken Rice,463,21.6,88.3,7,Stretching,Weight Loss focused training,Reduce Pimples,Warm lemon water,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 28,Lunch,Quinoa Salad,728,29.8,65.6,28.1,Cardio,Weight Gain focused training,Anti-Aging,Green tea,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 1,Snack,Chickpea Salad,729,44.2,33.7,5.2,Cardio,Weight Maintain focused training,Reduce Pimples,Turmeric milk,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 4,Snack,Tofu Stir Fry,422,38.9,30.3,27.5,Yoga,Weight Maintain focused training,Clear Skin,Amla juice,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 14,Snack,Chicken Rice,379,27.3,72.5,19,Cardio,Weight Maintain focused training,Reduce Pimples,Carrot juice,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 21,Lunch,Chickpea Salad,625,20,89.9,10,Strength Training,Weight Gain focused training,Hair Growth,Beetroot juice,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 21,Dinner,Tofu Stir Fry,616,27.5,38.4,24.5,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Carrot juice,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 20,Dinner,Vegan Smoothie,598,22.6,73.8,18.4,Cardio,Weight Maintain focused training,Reduce Pimples,Warm lemon water,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 3,Lunch,Grilled Chicken Salad,254,44,32.2,20,Strength Training,Weight Maintain focused training,Fresh Blood Circulation,Turmeric milk,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 14,Dinner,Dal & Rice,295,16.7,74.1,26.8,Cardio,Weight Maintain focused training,Hair Growth,Beetroot juice,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 17,Breakfast,Chicken Rice,517,11.9,87.6,19.7,HIIT,Weight Gain focused training,Reduce Pimples,Warm lemon water,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 15,Snack,Quinoa Salad,457,32.3,27.5,16,Cardio,Weight Gain focused training,Clear Skin,Amla juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 5,Lunch,Dal & Rice,428,10.4,43,14.3,Yoga,Weight Loss focused training,Reduce Pimples,Warm lemon water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 1,Dinner,Vegan Smoothie,259,31.3,28.8,13.9,HIIT,Weight Gain focused training,Reduce Pimples,Turmeric milk,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 14,Breakfast,Vegan Smoothie,267,41.6,20.8,9,Cardio,Weight Loss focused training,Hair Growth,Turmeric milk,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 15,Snack,Dal & Rice,529,42.7,81.7,13.7,Yoga,Weight Loss focused training,Hair Growth,Beetroot juice,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 15,Lunch,Vegan Smoothie,552,31.1,63.9,6.7,Yoga,Weight Loss focused training,Anti-Aging,Amla juice,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 22,Breakfast,Lentil Soup,420,35.9,42.3,27.1,Cardio,Weight Loss focused training,Glowing Skin,Carrot juice,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 2,Breakfast,Fish Curry,445,24,64.7,29.2,Stretching,Weight Maintain focused training,Anti-Aging,Coconut water,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 1,Breakfast,Tofu Stir Fry,466,43.8,64.9,13.3,Stretching,Weight Maintain focused training,Anti-Aging,Amla juice,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 18,Lunch,Tofu Stir Fry,497,27.7,67.5,23,Stretching,Weight Loss focused training,Hair Growth,Amla juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 16,Breakfast,Grilled Chicken Salad,533,32.9,74.8,9.5,HIIT,Weight Maintain focused training,Clear Skin,Amla juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 9,Breakfast,Quinoa Salad,368,27.9,41.5,19.6,HIIT,Weight Loss focused training,Anti-Aging,Coconut water,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 2,Breakfast,Grilled Chicken Salad,696,37,61.4,11.4,Stretching,Weight Gain focused training,Reduce Pimples,Green tea,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 13,Breakfast,Vegan Smoothie,535,31.4,65,10.8,Strength Training,Weight Maintain focused training,Clear Skin,Turmeric milk,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 25,Lunch,Chickpea Salad,536,17.8,47.7,15.7,Yoga,Weight Maintain focused training,Reduce Pimples,Coconut water,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
