Day,Goal,Workout_Type,Location,Exercises,Duration_Minutes,Intensity,Calories_Burned,Protein_g,Carbs_g,Fats_g,Total_Calories_Intake,Benefits
Day 11,Weight Loss,Strength Training,Home,Circuit Training,34,High,306,135,137,53,1785,Muscle tone
Day 10,Weight Gain,Cardio,Home,Light Cycling,70,Medium,420,155,293,61,2568,Endurance
Day 5,Weight Gain,Strength Training,Home,Compound Lifts,42,Medium,252,172,295,79,2879,Muscle growth
Day 14,Weight Loss,Yoga,Gym,Power Yoga,65,High,650,138,161,49,1707,Flexibility & metabolism
Day 3,Weight Gain,Yoga,Gym,Hatha Yoga,65,High,780,146,312,69,2578,Recovery
Day 6,Weight Loss,Strength Training,Gym,Circuit Training,69,Medium,345,140,160,46,1775,Muscle tone
Day 15,Weight Loss,Strength Training,Gym,Circuit Training,30,High,270,120,153,41,1683,Muscle tone
Day 30,Weight Loss,Yoga,Home,Power Yoga,64,High,704,141,130,43,1629,Flexibility & metabolism
Day 1,Weight Loss,Cardio,Gym,Running / Cycling,38,High,380,136,145,40,1753,"Fat loss, heart health"
Day 2,Weight Loss,Strength Training,Gym,Circuit Training,46,Low,184,124,137,59,1896,Muscle tone
Day 19,Weight Maintain,Yoga,Home,Vinyasa Yoga,49,High,490,139,205,62,2184,Mobility
Day 4,Weight Loss,Cardio,Home,Running / Cycling,54,Medium,270,126,149,53,1850,"Fat loss, heart health"
Day 30,Weight Gain,HIIT,Home,Moderate HIIT,66,Medium,396,154,305,80,2870,Conditioning
Day 16,Weight Loss,Yoga,Gym,Power Yoga,75,High,600,125,143,41,1811,Flexibility & metabolism
Day 15,Weight Loss,Cardio,Gym,Running / Cycling,58,Low,290,129,150,45,1617,"Fat loss, heart health"
Day 26,Weight Loss,Yoga,Gym,Power Yoga,73,Medium,365,149,168,42,1615,Flexibility & metabolism
Day 17,Weight Gain,Yoga,Home,Hatha Yoga,70,High,560,144,358,60,2561,Recovery
Day 23,Weight Loss,Strength Training,Home,Circuit Training,39,High,312,131,172,40,1810,Muscle tone
Day 3,Weight Maintain,Cardio,Home,Jogging,43,Medium,344,130,259,63,2092,Cardio fitness
Day 22,Weight Loss,Cardio,Gym,Running / Cycling,36,High,360,138,151,53,1656,"Fat loss, heart health"
Day 12,Weight Maintain,Yoga,Gym,Vinyasa Yoga,47,High,470,123,218,63,2087,Mobility
Day 4,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",52,Medium,312,121,159,49,1656,Rapid calorie burn
Day 17,Weight Gain,HIIT,Home,Moderate HIIT,56,Medium,280,145,317,60,2507,Conditioning
Day 15,Weight Maintain,HIIT,Gym,Mixed HIIT,68,Medium,408,125,218,54,2020,Overall fitness
Day 3,Weight Loss,Strength Training,Home,Circuit Training,33,Medium,198,133,146,50,1602,Muscle tone
Day 22,Weight Gain,Strength Training,Gym,Compound Lifts,41,High,410,175,338,68,2961,Muscle growth
Day 7,Weight Loss,Strength Training,Gym,Circuit Training,75,Low,375,131,161,60,1778,Muscle tone
Day 24,Weight Maintain,Strength Training,Gym,Split Workout,75,Low,300,138,204,58,2049,Strength balance
Day 25,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",32,Low,96,148,140,47,1827,Rapid calorie burn
Day 8,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",31,Medium,248,140,156,45,1870,Rapid calorie burn
Day 16,Weight Loss,Strength Training,Home,Circuit Training,57,Medium,399,135,165,44,1622,Muscle tone
Day 8,Weight Maintain,HIIT,Home,Mixed HIIT,60,Medium,480,110,228,56,2033,Overall fitness
Day 1,Weight Gain,Cardio,Home,Light Cycling,61,Medium,488,177,346,63,2542,Endurance
Day 11,Weight Gain,Cardio,Gym,Light Cycling,71,Low,355,149,305,61,2668,Endurance
Day 30,Weight Maintain,HIIT,Home,Mixed HIIT,45,Low,180,139,212,61,2107,Overall fitness
Day 6,Weight Maintain,Cardio,Gym,Jogging,44,Medium,264,132,231,54,2035,Cardio fitness
Day 16,Weight Maintain,Strength Training,Home,Split Workout,69,High,759,131,223,53,2195,Strength balance
Day 29,Weight Gain,Yoga,Home,Hatha Yoga,64,Medium,320,155,316,80,2462,Recovery
Day 13,Weight Gain,Cardio,Home,Light Cycling,30,High,270,150,334,64,2430,Endurance
Day 21,Weight Gain,Strength Training,Gym,Compound Lifts,64,Low,256,151,326,79,2870,Muscle growth
Day 27,Weight Maintain,Cardio,Gym,Jogging,74,Medium,592,113,246,64,2023,Cardio fitness
Day 7,Weight Maintain,Strength Training,Home,Split Workout,71,Medium,568,110,238,61,2117,Strength balance
Day 24,Weight Gain,Strength Training,Gym,Compound Lifts,48,High,480,158,288,63,2797,Muscle growth
Day 10,Weight Gain,Cardio,Gym,Light Cycling,72,Low,288,148,303,65,2592,Endurance
Day 30,Weight Maintain,Cardio,Gym,Jogging,70,High,630,135,205,54,2123,Cardio fitness
Day 22,Weight Maintain,Strength Training,Home,Split Workout,42,High,336,121,218,50,2115,Strength balance
Day 5,Weight Maintain,Cardio,Home,Jogging,61,High,671,128,208,50,2155,Cardio fitness
Day 12,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",55,Low,165,137,140,58,1835,Rapid calorie burn
Day 4,Weight Maintain,HIIT,Gym,Mixed HIIT,30,Medium,180,126,206,63,2111,Overall fitness
Day 24,Weight Gain,Cardio,Gym,Light Cycling,50,High,450,146,286,67,2686,Endurance
Day 28,Weight Gain,HIIT,Home,Moderate HIIT,46,Medium,276,179,341,76,2940,Conditioning
Day 30,Weight Gain,Cardio,Gym,Light Cycling,74,Medium,592,160,285,78,2918,Endurance
Day 26,Weight Loss,HIIT,Home,"Burpees, Jump Squats",74,Low,296,132,166,59,1728,Rapid calorie burn
Day 12,Weight Gain,HIIT,Home,Moderate HIIT,45,High,540,157,307,67,2942,Conditioning
Day 21,Weight Loss,Yoga,Home,Power Yoga,50,Medium,300,124,177,50,1703,Flexibility & metabolism
Day 4,Weight Maintain,Yoga,Gym,Vinyasa Yoga,52,Medium,260,135,247,59,2015,Mobility
Day 5,Weight Gain,HIIT,Gym,Moderate HIIT,37,High,296,142,351,71,2926,Conditioning
Day 29,Weight Loss,Yoga,Gym,Power Yoga,58,Low,290,122,175,53,1873,Flexibility & metabolism
Day 6,Weight Gain,Strength Training,Home,Compound Lifts,47,High,564,180,347,74,2916,Muscle growth
Day 7,Weight Maintain,Yoga,Home,Vinyasa Yoga,31,High,372,116,259,50,2065,Mobility
Day 25,Weight Maintain,Yoga,Gym,Vinyasa Yoga,62,Medium,310,124,206,61,2151,Mobility
Day 20,Weight Maintain,Cardio,Home,Jogging,56,Medium,280,138,241,63,2136,Cardio fitness
Day 6,Weight Gain,HIIT,Gym,Moderate HIIT,52,Medium,312,142,317,73,2796,Conditioning
Day 20,Weight Gain,Cardio,Gym,Light Cycling,68,Low,340,153,352,76,2680,Endurance
Day 12,Weight Maintain,Strength Training,Gym,Split Workout,40,High,480,127,206,52,2192,Strength balance
Day 4,Weight Loss,Yoga,Home,Power Yoga,49,Medium,294,127,144,40,1648,Flexibility & metabolism
Day 2,Weight Maintain,Cardio,Gym,Jogging,55,Low,275,130,247,65,2182,Cardio fitness
Day 10,Weight Loss,Yoga,Home,Power Yoga,31,Medium,217,141,141,50,1781,Flexibility & metabolism
Day 7,Weight Gain,Cardio,Gym,Light Cycling,38,Low,114,157,304,80,2966,Endurance
Day 16,Weight Maintain,HIIT,Home,Mixed HIIT,52,Low,208,137,251,51,2062,Overall fitness
Day 14,Weight Maintain,Yoga,Home,Vinyasa Yoga,65,Medium,455,121,243,64,2089,Mobility
Day 29,Weight Maintain,Cardio,Gym,Jogging,32,Low,96,114,203,61,2024,Cardio fitness
Day 24,Weight Maintain,Cardio,Home,Jogging,74,High,888,138,240,51,2187,Cardio fitness
Day 5,Weight Loss,Cardio,Gym,Running / Cycling,59,Medium,413,137,153,51,1744,"Fat loss, heart health"
Day 17,Weight Gain,Cardio,Gym,Light Cycling,51,High,612,143,336,72,2547,Endurance
Day 8,Weight Loss,Strength Training,Gym,Circuit Training,36,Low,180,136,146,54,1673,Muscle tone
Day 14,Weight Maintain,Strength Training,Home,Split Workout,59,Medium,295,138,213,62,2009,Strength balance
Day 12,Weight Gain,Cardio,Home,Light Cycling,38,Low,152,157,290,70,2605,Endurance
Day 13,Weight Maintain,Strength Training,Gym,Split Workout,56,Low,280,119,230,56,2130,Strength balance
Day 26,Weight Gain,Strength Training,Gym,Compound Lifts,32,High,320,176,280,80,2657,Muscle growth
Day 26,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",49,Low,196,131,166,55,1644,Rapid calorie burn
Day 22,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",52,Low,260,148,169,41,1777,Rapid calorie burn
Day 16,Weight Gain,Yoga,Gym,Hatha Yoga,48,Medium,240,180,333,62,2759,Recovery
Day 1,Weight Maintain,Yoga,Gym,Vinyasa Yoga,57,High,570,127,211,62,2156,Mobility
Day 6,Weight Loss,Strength Training,Gym,Circuit Training,57,High,684,139,153,52,1853,Muscle tone
Day 19,Weight Loss,HIIT,Home,"Burpees, Jump Squats",61,High,549,127,174,44,1738,Rapid calorie burn
Day 4,Weight Maintain,HIIT,Home,Mixed HIIT,32,Low,160,129,226,52,2127,Overall fitness
Day 19,Weight Maintain,Cardio,Home,Jogging,54,Medium,378,124,222,54,2004,Cardio fitness
Day 2,Weight Maintain,HIIT,Home,Mixed HIIT,71,Low,213,138,242,50,2015,Overall fitness
Day 10,Weight Loss,Yoga,Home,Power Yoga,50,Medium,350,120,165,42,1649,Flexibility & metabolism
Day 26,Weight Gain,Cardio,Home,Light Cycling,57,High,684,160,320,71,2925,Endurance
Day 5,Weight Loss,Strength Training,Gym,Circuit Training,47,Low,235,124,150,47,1671,Muscle tone
Day 3,Weight Loss,Strength Training,Gym,Circuit Training,48,Medium,384,126,176,55,1873,Muscle tone
Day 17,Weight Maintain,Yoga,Home,Vinyasa Yoga,42,Medium,210,115,244,63,2087,Mobility
Day 12,Weight Loss,HIIT,Home,"Burpees, Jump Squats",56,High,504,141,152,42,1790,Rapid calorie burn
Day 9,Weight Gain,Cardio,Gym,Light Cycling,73,Low,365,148,329,65,2886,Endurance
Day 21,Weight Maintain,Cardio,Gym,Jogging,60,Medium,300,134,226,65,2129,Cardio fitness
Day 26,Weight Maintain,Cardio,Gym,Jogging,58,High,522,136,246,54,2193,Cardio fitness
Day 14,Weight Maintain,HIIT,Gym,Mixed HIIT,37,High,444,130,217,54,2106,Overall fitness
Day 16,Weight Loss,Cardio,Home,Running / Cycling,69,High,621,122,167,54,1789,"Fat loss, heart health"
Day 1,Weight Gain,Yoga,Home,Hatha Yoga,69,High,621,156,299,75,2827,Recovery
Day 19,Weight Gain,Cardio,Home,Light Cycling,41,Medium,246,156,337,61,2715,Endurance
Day 4,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",34,High,374,130,176,57,1671,Rapid calorie burn
Day 15,Weight Gain,Strength Training,Home,Compound Lifts,58,Low,290,141,303,73,2927,Muscle growth
Day 18,Weight Gain,Cardio,Home,Light Cycling,32,Medium,256,159,331,70,2720,Endurance
Day 21,Weight Maintain,Strength Training,Home,Split Workout,68,Low,272,124,247,52,2010,Strength balance
Day 1,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",69,High,552,135,154,53,1724,Rapid calorie burn
Day 20,Weight Loss,Cardio,Home,Running / Cycling,74,High,888,136,174,51,1754,"Fat loss, heart health"
Day 8,Weight Loss,Cardio,Gym,Running / Cycling,38,Medium,304,143,179,46,1610,"Fat loss, heart health"
Day 9,Weight Gain,Cardio,Gym,Light Cycling,67,Low,268,179,281,65,2631,Endurance
Day 21,Weight Gain,Yoga,Home,Hatha Yoga,58,Medium,406,171,309,66,2728,Recovery
Day 3,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",64,Medium,448,138,134,49,1840,Rapid calorie burn
Day 9,Weight Loss,Strength Training,Home,Circuit Training,70,Medium,490,120,165,52,1740,Muscle tone
Day 6,Weight Maintain,Yoga,Home,Vinyasa Yoga,36,Medium,180,114,207,55,2175,Mobility
Day 1,Weight Loss,Cardio,Home,Running / Cycling,61,High,549,129,161,55,1650,"Fat loss, heart health"
Day 9,Weight Maintain,Strength Training,Gym,Split Workout,72,High,792,133,232,58,2107,Strength balance
Day 8,Weight Gain,Yoga,Gym,Hatha Yoga,70,High,560,150,292,62,2815,Recovery
Day 11,Weight Loss,Cardio,Home,Running / Cycling,65,Medium,455,123,177,59,1716,"Fat loss, heart health"
Day 27,Weight Maintain,HIIT,Home,Mixed HIIT,64,Medium,448,134,247,61,2164,Overall fitness
Day 19,Weight Loss,Cardio,Home,Running / Cycling,30,High,360,121,132,58,1847,"Fat loss, heart health"
Day 29,Weight Gain,Cardio,Gym,Light Cycling,71,High,568,171,297,63,2594,Endurance
Day 19,Weight Gain,Strength Training,Home,Compound Lifts,68,High,816,146,356,66,2514,Muscle growth
Day 5,Weight Loss,Strength Training,Home,Circuit Training,61,Low,305,137,143,59,1699,Muscle tone
Day 29,Weight Maintain,HIIT,Gym,Mixed HIIT,68,Low,272,137,257,58,2051,Overall fitness
Day 16,Weight Maintain,Strength Training,Home,Split Workout,50,High,550,139,245,52,2098,Strength balance
Day 5,Weight Loss,Strength Training,Gym,Circuit Training,31,High,279,143,140,41,1611,Muscle tone
Day 2,Weight Loss,HIIT,Home,"Burpees, Jump Squats",56,High,504,147,154,42,1736,Rapid calorie burn
Day 1,Weight Gain,Strength Training,Home,Compound Lifts,48,High,528,148,356,62,2734,Muscle growth
Day 24,Weight Maintain,HIIT,Home,Mixed HIIT,34,Low,102,140,244,60,2134,Overall fitness
Day 19,Weight Loss,HIIT,Home,"Burpees, Jump Squats",53,Low,265,147,166,53,1859,Rapid calorie burn
Day 7,Weight Loss,Cardio,Gym,Running / Cycling,45,Low,135,122,136,49,1752,"Fat loss, heart health"
Day 27,Weight Loss,Yoga,Home,Power Yoga,74,High,592,131,175,43,1619,Flexibility & metabolism
Day 26,Weight Maintain,Yoga,Gym,Vinyasa Yoga,74,Low,296,129,224,55,2033,Mobility
Day 20,Weight Loss,Yoga,Gym,Power Yoga,39,Low,156,137,133,59,1882,Flexibility & metabolism
Day 20,Weight Loss,Strength Training,Home,Circuit Training,40,High,360,137,145,49,1610,Muscle tone
Day 18,Weight Gain,Strength Training,Gym,Compound Lifts,44,High,484,171,341,74,2578,Muscle growth
Day 4,Weight Gain,Cardio,Home,Light Cycling,30,Medium,210,164,314,77,2666,Endurance
Day 30,Weight Loss,Cardio,Gym,Running / Cycling,34,Low,136,128,180,57,1784,"Fat loss, heart health"
Day 8,Weight Gain,Strength Training,Gym,Compound Lifts,73,High,657,170,322,63,2935,Muscle growth
Day 7,Weight Gain,Yoga,Gym,Hatha Yoga,41,High,328,146,299,80,2858,Recovery
Day 25,Weight Loss,Cardio,Gym,Running / Cycling,35,Low,105,124,159,60,1708,"Fat loss, heart health"
Day 3,Weight Gain,Cardio,Gym,Light Cycling,32,Low,160,157,280,60,2837,Endurance
Day 9,Weight Maintain,Yoga,Gym,Vinyasa Yoga,65,High,520,120,244,64,2024,Mobility
Day 11,Weight Maintain,Strength Training,Home,Split Workout,72,Low,360,131,208,61,2093,Strength balance
Day 10,Weight Gain,Strength Training,Gym,Compound Lifts,68,Medium,544,151,318,65,2527,Muscle growth
Day 17,Weight Gain,HIIT,Gym,Moderate HIIT,64,High,640,146,346,77,2403,Conditioning
Day 8,Weight Maintain,Strength Training,Gym,Split Workout,31,High,248,134,219,63,2011,Strength balance
Day 28,Weight Maintain,Strength Training,Gym,Split Workout,60,Low,240,117,227,53,2168,Strength balance
Day 24,Weight Loss,Cardio,Home,Running / Cycling,75,High,825,131,131,50,1736,"Fat loss, heart health"
Day 8,Weight Maintain,Yoga,Home,Vinyasa Yoga,53,Low,212,137,207,52,2071,Mobility
Day 12,Weight Loss,Cardio,Home,Running / Cycling,52,High,468,131,137,42,1627,"Fat loss, heart health"
Day 20,Weight Gain,HIIT,Gym,Moderate HIIT,36,Low,180,156,281,68,2903,Conditioning
Day 8,Weight Gain,HIIT,Home,Moderate HIIT,40,Medium,240,155,319,68,2993,Conditioning
Day 29,Weight Loss,Yoga,Home,Power Yoga,63,High,504,127,149,47,1750,Flexibility & metabolism
Day 2,Weight Gain,Strength Training,Home,Compound Lifts,33,High,264,162,315,68,2450,Muscle growth
Day 27,Weight Maintain,HIIT,Gym,Mixed HIIT,30,Low,90,130,206,51,2019,Overall fitness
Day 10,Weight Maintain,HIIT,Home,Mixed HIIT,71,High,568,124,208,51,2062,Overall fitness
Day 10,Weight Maintain,Cardio,Home,Jogging,72,Medium,576,135,218,63,2124,Cardio fitness
Day 3,Weight Gain,Strength Training,Gym,Compound Lifts,72,Medium,504,152,345,65,2776,Muscle growth
Day 14,Weight Loss,Yoga,Home,Power Yoga,58,Medium,406,124,162,55,1649,Flexibility & metabolism
Day 19,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",42,Low,126,124,140,49,1692,Rapid calorie burn
Day 24,Weight Gain,Yoga,Home,Hatha Yoga,59,Low,236,149,355,65,2460,Recovery
Day 25,Weight Loss,Strength Training,Gym,Circuit Training,47,Low,141,143,178,59,1730,Muscle tone
Day 16,Weight Loss,Yoga,Home,Power Yoga,32,Medium,160,134,130,56,1675,Flexibility & metabolism
Day 26,Weight Loss,Cardio,Home,Running / Cycling,50,High,400,146,177,42,1890,"Fat loss, heart health"
Day 14,Weight Gain,Cardio,Gym,Light Cycling,47,Low,188,151,294,65,2670,Endurance
Day 13,Weight Maintain,Yoga,Home,Vinyasa Yoga,43,Low,129,119,224,54,2016,Mobility
Day 15,Weight Maintain,Cardio,Home,Jogging,44,High,352,138,236,57,2151,Cardio fitness
Day 6,Weight Maintain,Strength Training,Gym,Split Workout,50,High,400,117,208,61,2153,Strength balance
Day 14,Weight Loss,Yoga,Gym,Power Yoga,53,High,477,124,140,40,1857,Flexibility & metabolism
Day 18,Weight Loss,Strength Training,Home,Circuit Training,72,Low,360,132,166,56,1787,Muscle tone
Day 28,Weight Loss,Yoga,Home,Power Yoga,64,Low,192,135,132,49,1764,Flexibility & metabolism
Day 28,Weight Loss,HIIT,Home,"Burpees, Jump Squats",32,High,384,127,130,45,1723,Rapid calorie burn
Day 4,Weight Gain,HIIT,Home,Moderate HIIT,59,High,708,169,322,65,2698,Conditioning
Day 25,Weight Gain,Cardio,Home,Light Cycling,65,High,715,160,315,66,2916,Endurance
Day 13,Weight Loss,Strength Training,Home,Circuit Training,63,Medium,441,127,145,57,1819,Muscle tone
Day 27,Weight Gain,Yoga,Gym,Hatha Yoga,39,High,429,148,342,74,2594,Recovery
Day 13,Weight Gain,HIIT,Gym,Moderate HIIT,42,Medium,294,157,342,67,2835,Conditioning
Day 27,Weight Maintain,Cardio,Gym,Jogging,39,High,390,126,238,50,2190,Cardio fitness
Day 20,Weight Loss,Strength Training,Gym,Circuit Training,61,High,671,132,137,49,1751,Muscle tone
Day 22,Weight Gain,Strength Training,Home,Compound Lifts,61,Medium,427,166,294,69,2429,Muscle growth
Day 29,Weight Gain,Cardio,Gym,Light Cycling,32,Low,160,165,310,67,2913,Endurance
Day 6,Weight Maintain,HIIT,Gym,Mixed HIIT,69,Low,345,136,222,65,2163,Overall fitness
Day 14,Weight Maintain,Cardio,Home,Jogging,47,High,564,134,222,65,2081,Cardio fitness
Day 11,Weight Maintain,Cardio,Home,Jogging,45,Medium,360,113,206,59,2185,Cardio fitness
Day 16,Weight Gain,Yoga,Home,Hatha Yoga,41,High,328,164,285,61,2802,Recovery
