recipe_id,recipe_name,ingredients,steps,cuisine,diet_type,calories,protein_g,fat_g,carbs_g,image_url
6886,Japanese Chicken Teriyaki with Steamed Broccoli,"chicken thighs, teriyaki sauce, soy sauce, mirin, sugar, ginger, garlic, broccoli, sesame seeds, vegetable oil",,Japanese,['nan'],380,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuq0IxivEm3NCl3EICNW9UMc-MOSQdiPVXKg&s
6887,Vietnamese Pho Bo (Beef Noodle Soup),"beef broth, rice noodles, beef sirloin thinly sliced, onion, scallions, cilantro, bean sprouts, lime, hoisin sauce, sriracha, star anise, cinnamon stick, cardamom pods",,Vietnamese,"['gluten-free', 'dairy-free']",400,20,8,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT32_YSqM5DG5F9mhqfAl8hYkXAp02q2AR8Sg&s
6888,Spanish Paella with Seafood,"rice, shrimp, mussels, clams, chicken thighs, chorizo, onion, bell peppers, peas, saffron, olive oil, chicken broth",,Spanish,"['gluten-free', 'dairy-free']",550,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDgi8wT6nneK5n8PcijDazt3vLL0iRZv-rmg&s
6889,Moroccan Tagine with Lamb and Apricots,"lamb shoulder, dried apricots, onion, ginger, cinnamon, turmeric, cumin, coriander, saffron, almonds, olive oil, vegetable broth, cilantro",,Moroccan,['nan'],650,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0VCIFmxZueHtutTA-adBgYeZZEpPYhJznDA&s
6890,Brazilian Feijoada (Black Bean Stew),"black beans, smoked sausage, dried beef, pork ribs, bacon, onion, garlic, bay leaves, orange slices, rice, collard greens",,Brazilian,"['gluten-free', 'dairy-free']",700,20,8,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS40JFA7UTlz1vvOtzJ1O21e7Ly4ne-oWryRw&s
6891,American Clam Chowder (New England Style),"clams, potatoes, onion, celery, bacon, milk, cream, butter, flour, thyme, parsley",,American,['nan'],480,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_02UmUQC88wyXJrk8J4v7meTLyjcUTaHZ5Q&s
6892,Jamaican Jerk Chicken with Rice and Peas,"chicken thighs, jerk seasoning, soy sauce, vinegar, brown sugar, scotch bonnet pepper, thyme, allspice, onion, garlic, rice, kidney beans, coconut milk, scallions, vegetable oil",,Jamaican,['nan'],600,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnsSW9IdS6V65icvNzgqW_4J1gtYDEt0LFA&s
6893,Lebanese Fattoush Salad,"romaine lettuce, tomatoes, cucumbers, bell peppers, radishes, green onions, parsley, mint, toasted pita bread, olive oil, lemon juice, sumac, garlic, salt",,Lebanese,"['vegan', 'vegetarian']",250,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrtPNiqq7bEjMcI6bUazU5OYqT8Ln8WgczAw&s
6894,Irish Shepherd's Pie,"ground lamb, onion, carrots, celery, peas, beef broth, worcestershire sauce, thyme, bay leaf, mashed potatoes, butter, milk, cheese optional",,Irish,['nan'],580,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMbpQrbySZTte4pR8rQXBSUwSi1i2DV0jYgA&s
6895,Argentine Chimichurri Steak with Roasted Vegetables,"steak sirloin or ribeye, olive oil, red wine vinegar, parsley, oregano, garlic, red pepper flakes, salt, pepper, assorted vegetables potatoes, carrots, zucchini, bell peppers",,Argentinian,"['gluten-free', 'dairy-free']",520,5,20,50,"https://img.hellofresh.com/f_auto,fl_lossy,h_640,q_auto,w_1200/hellofresh_s3/image/argentine-chimichurri-steak-d7bf70ad.jpg"
6896,Thai Green Curry with Shrimp,"green curry paste, coconut milk, shrimp, bamboo shoots, bell peppers, thai basil, fish sauce, sugar, vegetable oil, lime leaves",,Thai,['nan'],350,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVlWrWSQbQ6GsYdxHJE0Arr1mBctjh315I4Q&s
6897,Korean Bibimbap (Mixed Rice with Meat and Vegetables),"cooked rice, ground beef, spinach, carrots, cucumber, shiitake mushrooms, egg, gochujang sauce, sesame oil, soy sauce, garlic, sesame seeds, vegetable oil",,Korean,['nan'],500,20,20,50,https://www.allrecipes.com/thmb/lVq27qPeIGxCtsC-2esIsDrAYl4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228240-BibimbapKoreanRiceWithMixedVegtables-ddmfs-4X3-0667-70784fdd28904e2daab245c029f978ee.jpg
6898,Italian Risotto with Saffron and Parmesan,"arborio rice, saffron threads, chicken broth, onion, white wine, butter, parmesan cheese, olive oil, salt, pepper",,Italian,"['vegetarian', 'gluten-free']",420,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBXlW_k0G5TyPJiW8J_h3o5v0rMGppTYdYtA&s
6899,Mexican Fish Tacos with Cabbage Slaw,"white fish fillets, corn tortillas, shredded cabbage, mayonnaise, lime juice, cilantro, red onion, chili powder, cumin, vegetable oil",,Mexican,['nan'],380,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRggXGN93O-3DX0gXVF5VMqRQh1isw3iuL9rA&s
6900,French Onion Soup with Gruyere Croutons,"onions, beef broth, dry white wine, butter, olive oil, thyme, bay leaf, french bread slices, gruyere cheese",,French,['vegetarian'],350,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnri_1RFu3E7k1tAbiy6ioGGUZlnTfK0yKCQ&s
6901,Greek Spanakopita (Spinach and Feta Pie),"phyllo dough, spinach, feta cheese, onion, scallions, eggs, olive oil, dill, nutmeg, salt, pepper",,Greek,['vegetarian'],320,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh63VkIquVZ5UN0631iKeJzS_5w814fivBhQ&s
6902,Swedish Gravlax with Dill Sauce,"salmon fillet, salt, sugar, white pepper, fresh dill, lemon, mustard, white wine vinegar, olive oil",,Swedish,"['gluten-free', 'dairy-free']",250,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRX0sHOAwSB9b5dxr5PLndUOKzMP2H3BWQKUg&s
6903,Ethiopian Doro Wat (Chicken Stew) with Hard-Boiled Eggs,"chicken pieces, onion, berbere spice blend, ginger, garlic, tomato paste, vegetable oil, hard-boiled eggs",,Ethiopian,['nan'],480,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0hgfI-sCEFDY55BItXQcgBRPj1ey7h7ozTw&s
6904,Nigerian Egusi Soup with Pounded Yam,"egusi seeds melon seeds, palm oil, onion, bell peppers, scotch bonnet pepper, leafy greens spinach or bitter leaf, fish or meat, seasoning cubes, pounded yam for serving",,Nigerian,['nan'],600,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL3Y-wbiDaGu9Aj3-x13vRQEsh-kS62yXOKQ&s
6905,Peruvian Ceviche with Sweet Potato and Corn,"white fish fillets, lime juice, red onion, cilantro, aji limo pepper, sweet potato, corn, salt, pepper",,Peruvian,"['gluten-free', 'dairy-free']",280,20,8,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcVwkMkEdMRN-LoUy_3Oa9MbgvnKc5dOzvXw&s
6906,Argentinian Asado (Grilled Meats),"various cuts of beef ribs, flank, chorizo, salt",,Argentinian,"['gluten-free', 'dairy-free']",750,20,8,30,https://cdn.shopify.com/s/files/1/0258/9386/3529/articles/Carnes.-Asados.-Parrilladas.jpg?v=1605730063
6907,Australian Barbecue Prawns with Garlic Butter,"prawns, butter, garlic, parsley, lemon juice, salt, pepper",,Australian,"['gluten-free', 'dairy-free']",220,5,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUTVYrMgtfftcQS9K47eP8SrzVzZaetohBIQ&s
6908,Hawaiian Laulau (Pork Wrapped in Taro Leaves),"pork shoulder, butterfish optional, taro leaves, ti leaves, sea salt",,Polynesian,"['gluten-free', 'dairy-free']",500,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXQ9-h4P9U0H4NHszE_m6kbQsU5IFT2D3G1Q&s
6909,Japanese Ramen with Pork Belly and Soft Egg,"pork broth, ramen noodles, pork belly chashu, soy sauce egg ajitsuke tamago, scallions, nori seaweed, soy sauce, mirin, garlic, ginger, sesame oil",,Japanese,['nan'],650,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ8Jw0FWoSPbOXjjzBVEjNBenl8SeiQvZfUA&s
6910,Vietnamese Goi Cuon (Fresh Spring Rolls) with Peanut Sauce,"rice paper, shrimp, rice vermicelli, lettuce, mint, cilantro, bean sprouts, peanut butter, hoisin sauce, lime juice, water, sugar, garlic, chili sauce",,Vietnamese,"['gluten-free', 'dairy-free']",300,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2RjBfH0tL2rJNVYar15-trHk60_iC1AT5UA&s
6911,Spanish Gazpacho (Cold Tomato Soup),"ripe tomatoes, cucumber, bell pepper, onion, garlic, olive oil, sherry vinegar, bread, salt, pepper",,Spanish,"['vegan', 'vegetarian', 'dairy-free']",150,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6-LSf-3vUSrRUFz21sW17FGdSkniS_AWhjQ&s
6912,Moroccan Chicken Tagine with Olives and Preserved Lemons,"chicken pieces, preserved lemons, green olives, onion, ginger, turmeric, cumin, coriander, saffron, olive oil, chicken broth, cilantro",,Moroccan,['nan'],520,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHl6oh-PqkXcfDxA64rB0SgEoSSwRl8aYv8Q&s
6913,Brazilian Moqueca (Seafood Stew with Coconut Milk),"white fish fillets, shrimp, coconut milk, onion, bell peppers, tomatoes, garlic, cilantro, palm oil, lime juice, salt, pepper",,Brazilian,"['gluten-free', 'dairy-free']",400,20,20,30,https://littleferrarokitchen.com/wp-content/uploads/2023/06/brazilian-fish-stew-moqueca.jpg
6914,American Jambalaya with Chicken and Sausage,"rice, chicken, andouille sausage, onion, bell peppers, celery, tomatoes, chicken broth, creole seasoning, bay leaf, vegetable oil",,American,['nan'],550,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPxRcg7RX4YzczQx-cYYlHZiOsCzK7cqeg1Q&s
6915,Jamaican Ackee and Saltfish,"ackee, salted codfish, onion, scallions, scotch bonnet pepper, tomato, vegetable oil, thyme, black pepper",,Jamaican,"['gluten-free', 'dairy-free']",350,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToNpxW7xmY6o3_LiAUvXN7nk_C6VsQKT2kew&s
6916,Lebanese Kibbeh (Baked Meat and Burghul Dish),"ground lamb or beef, burghul cracked wheat, onion, spices cinnamon, allspice, pine nuts, olive oil",,Lebanese,['nan'],380,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNFuOiZ4njTJZUYX3fpL05mcSDikY6S7AocA&s
6917,Irish Colcannon (Mashed Potatoes with Kale or Cabbage),"potatoes, kale or cabbage, butter, milk or cream, scallions, salt, pepper",,Irish,['vegetarian'],300,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5kYal6OFpCIMbsGITYBp-By05QHkIAXLK2w&s
6918,Argentine Milanesa with Mashed Potatoes,"beef steak thinly sliced, breadcrumbs, eggs, garlic, parsley, olive oil, salt, pepper, potatoes, milk, butter",,Argentinian,['nan'],480,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPVe9Qfgc2qPaYf3jZM8WNfmAhMJktOK1qCg&s
6919,Thai Massaman Curry with Chicken and Potatoes,"massaman curry paste, coconut milk, chicken thighs, potatoes, onion, peanuts, fish sauce, sugar, tamarind paste, bay leaves, cardamom pods, cinnamon stick, vegetable oil",,Thai,['nan'],500,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLcp3nMZlZf3F7fiwBBpZgj3_wMWnXeK5rxg&s
6920,Korean Bulgogi (Marinated Grilled Beef),"beef sirloin thinly sliced, soy sauce, sugar, sesame oil, garlic, ginger, onion, scallions, sesame seeds, vegetable oil",,Korean,['nan'],350,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTICxJZvV1PPG7-vRTt-60WcjIxelHZDJDG6A&s
6921,Mexican Pozole Rojo with Pork and Hominy,"pork shoulder, hominy, dried ancho chiles, dried guajillo chiles, onion, garlic, oregano, cumin, bay leaf, cabbage, radishes, lime, cilantro, vegetable oil",,Mexican,['nan'],600,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzHZ3TlceBipvjfxdoM7tfu-C6xGFBOwXG2Q&s
6922,French Ratatouille (Vegetable Stew),"eggplant, zucchini, bell peppers, tomatoes, onion, garlic, olive oil, herbs de provence, salt, pepper",,French,"['vegan', 'vegetarian', 'gluten-free', 'dairy-free']",250,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb-0C1jdgFol2JHpgjOJNse5-F8AB9zvw5AA&s
6923,Greek Moussaka (Eggplant and Meat Casserole),"eggplant, ground lamb or beef, onion, garlic, tomato paste, red wine, cinnamon, allspice, bay leaf, bechamel sauce milk, butter, flour, nutmeg, cheese, olive oil, salt, pepper",,Greek,['nan'],500,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJiEPCMIDd93gfXpMkDngED8ED5LPGYXNCZg&s
6924,Swedish Kanelbullar (Cinnamon Buns),"wheat flour, milk, butter, sugar, yeast, cinnamon, cardamom, egg for wash, pearl sugar",,Swedish,['vegetarian'],200,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9A1ksjwPsYWGinW_ebb7EgQudIquUJR-hnA&s
6925,Ethiopian Injera with Shiro Wot,"injera flatbread, chickpea flour, onion, garlic, ginger, berbere spice blend, vegetable oil",,Ethiopian,"['vegan', 'vegetarian', 'gluten-free']",300,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAx2gPHzyMlUHzOf2XTSt4XmU7WGzv3XNiYQ&s
6926,Nigerian Suya (Grilled Spicy Skewered Meat),"beef, chicken, or ram meat, suya spice blend ground peanuts, chili, ginger, other spices, vegetable oil, onion, tomatoes",,Nigerian,"['gluten-free', 'dairy-free']",400,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHBYMzRR2lq5fMeopANSpJNz42deLKh1BZBA&s
6927,Peruvian Aji de Gallina (Spicy Chicken Stew),"shredded chicken, aji amarillo peppers, walnuts, bread, milk, onion, garlic, cheese, olive oil, rice, potatoes, olives, hard-boiled eggs",,Peruvian,['nan'],450,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0OZQcIRGDXdVy6JI4gCMHicySFXuoLbqIiQ&s
6928,Argentinian Locro (Hearty Stew with Corn and Beans),"dried white corn, dried beans, pork, beef, chorizo, onion, squash, bacon, spices, vegetable broth",,Argentinian,['nan'],550,20,8,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsZcZrAjprn5fhbqJWkfsWZ2TGVyr6LCeQiw&s
6929,Australian Lamingtons (Sponge Cake with Chocolate and Coconut),"sponge cake, chocolate sauce, desiccated coconut, jam optional",,Australian,['vegetarian'],250,5,8,50,https://www.thespruceeats.com/thmb/izFpGQ62Wiv6fmIJkXVtNNgAUnk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/SES-lamington-cake-recipe-256086-b7ee6d18303c423db87bf0752419de02.jpg
6930,Hawaiian Poke Bowl with Tuna and Avocado,"sushi-grade tuna, cooked rice, soy sauce, sesame oil, seaweed, avocado, scallions, sesame seeds, ginger, onion, chili flakes",,Polynesian,"['gluten-free', 'dairy-free']",350,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2x8u8QXwQEJN0GFo0eXCFyraBrvo84ESpVw&s
6931,Japanese Okonomiyaki (Savory Pancake),"cabbage, flour, eggs, water or dashi, pork belly or shrimp optional, okonomiyaki sauce, japanese mayonnaise, katsuobushi bonito flakes, aonori seaweed flakes, vegetable oil",,Japanese,['nan'],400,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQmWfM59pSQ1403QqVJVXB2OCp1i1IIRrlAA&s
6932,Vietnamese Banh Mi (Sandwich),"baguette, pate, mayonnaise, roast pork or grilled chicken, pickled carrots and daikon, cilantro, jalapeo, soy sauce",,Vietnamese,['nan'],300,20,8,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPUeHXnNotDtZfLYfdgiv4GMvTYjCu5E0E0Q&s
6933,Spanish Tortilla Espa�ola (Spanish Omelette),"potatoes, onions, eggs, olive oil, salt, pepper",,Spanish,"['vegetarian', 'gluten-free', 'dairy-free']",200,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUJ3aUSuAwuVpJXxsLXrl9llH8f0saMZMliA&s
6934,Moroccan Harira Soup (Lentil and Tomato Soup),"lentils, chickpeas, tomatoes, onion, celery, cilantro, parsley, vegetable broth, spices turmeric, cumin, ginger, cinnamon, lemon juice, olive oil",,Moroccan,"['vegan', 'vegetarian']",320,20,20,30,https://www.thespruceeats.com/thmb/VYPte2nVkETFFHeLTicXLmXeWx4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/classic-moroccan-harira-soup-2394920-hero-01-ffd8665c225c48c4a45c4314e96821b2.jpg
6935,Brazilian P�o de Queijo (Cheese Bread),"tapioca flour, cheese minas or parmesan, eggs, milk, vegetable oil, salt",,Brazilian,"['vegetarian', 'gluten-free']",150,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSP66HIkY_sZtnxRbFYJIURvm5NVA5qIh_fUA&s
6936,American Chili con Carne,"ground beef, kidney beans, diced tomatoes, onion, bell peppers, chili powder, cumin, oregano, beef broth, garlic, vegetable oil, cheddar cheese optional, sour cream optional",,American,['nan'],40,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYK-4aXLX3BXE7wqLcgsHq5mA1iruQxZbaKA&s
6937,Jamaican Brown Stew Fish,"fish fillets snapper or cod, onion, bell peppers, tomatoes, scallions, thyme, brown sugar, soy sauce, vinegar, butter, vegetable oil, okra optional",,Jamaican,['dairy-free'],400,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2RovXZixg2cC_gcwCdIwEubXzEGeGlut1Gg&s
6938,Lebanese Tabbouleh Salad,"parsley, bulgur cracked wheat, tomatoes, onion, mint, olive oil, lemon juice, salt, pepper",,Lebanese,"['vegan', 'vegetarian']",180,5,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqzNKvfpeVoQtK88FSSkqra1C-I5KQWO6ubQ&s
6939,Irish Boxty (Potato Pancakes),"potatoes raw and mashed, flour, baking soda, buttermilk, butter, salt, pepper",,Irish,['vegetarian'],150,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiy0mjL5NHJfWyVf3qDJV2j1jP0_C6eUVvJg&s
6940,Argentine Carbonada Criolla (Beef and Vegetable Stew),"beef stewing, potatoes, sweet potatoes, corn, squash, onion, bell pepper, tomatoes, beef broth, olive oil, spices, parsley",,Argentinian,['nan'],450,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTQeZJve6frAT-ZSoxlTmp3aL2pnQEqAOgSw&s
6941,Thai Panang Curry with Chicken,"panang curry paste, coconut milk, chicken thighs, bell peppers, green beans, fish sauce, sugar, kaffir lime leaves, vegetable oil, peanuts optional",,Thai,['nan'],420,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEXL7ojXoPhInc3NFIB0AkbDuMVdB0pWS7yw&s
6942,Korean Japchae (Glass Noodles with Vegetables and Beef),"glass noodles dangmyeon, beef sirloin thinly sliced, carrots, spinach, onion, mushrooms, soy sauce, sesame oil, sugar, garlic, sesame seeds, vegetable oil",,Korean,['nan'],380,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJivR8zu-xRACUIkr9RrhA77SMFFpaH-bDqQ&s
6943,"Italian Carbonara (Pasta with Eggs, Cheese, Bacon)","spaghetti, eggs, pecorino romano cheese, guanciale or pancettabacon, black pepper, salt",,Italian,['nan'],450,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFQ-TIGDcINcqC51ALJamJdVRPKfYYrsYmRg&s
6944,Mexican Tamales with Chicken and Salsa Verde,"masa harina, chicken shredded, chicken broth, lard or vegetable shortening, baking powder, salt, corn husks, green salsa tomatillos, chili peppers, onion, cilantro, garlic",,Mexican,['nan'],300,20,8,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXDE7HZnALu8FWKEAZqgKR9yLyDL8Yl0occw&s
6945,French Cr�pes Suzette (Pancakes with Orange Butter Sauce),"flour, eggs, milk, butter, sugar, orange juice, orange zest, grand marnier or other orange liqueur",,French,['vegetarian'],300,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7FkVvJX7cck9u-rTwZvb9a1Yu-k3nkoZdCQ&s
6946,Greek Pastitsio (Baked Pasta with Meat Sauce and Bechamel),"pasta penne or ziti, ground beef or lamb, onion, garlic, tomato paste, red wine, cinnamon, allspice, bay leaf, bechamel sauce milk, butter, flour, nutmeg, cheese, olive oil, salt, pepper",,Greek,['nan'],550,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_bnHA7TkqBlo1j15QYY6AX5t5BSYK5tiCPQ&s
6947,Swedish Semlor (Cardamom Buns with Almond Paste and Cream),"wheat flour, milk, butter, sugar, yeast, cardamom, almond paste, heavy cream, powdered sugar",,Swedish,['vegetarian'],350,5,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcDdH6MmheKe25l4rQXRqYoj2XyJmm4cdxRw&s
6948,Ethiopian Tibs (Saut�ed Meat with Vegetables),"beef or lamb cubed, onion, bell peppers, tomato, garlic, ginger, berbere spice blend, vegetable oil, rosemary",,Ethiopian,"['gluten-free', 'dairy-free']",400,20,20,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5mIDMupnpkmy3vvydcoSHGvLtaLioI7_2oA&s
6949,Nigerian Moi Moi (Steamed Bean Pudding),"black-eyed peas, onion, bell peppers, scotch bonnet pepper, vegetable oil, fish or vegetable broth, seasoning cubes, eggs optional",,Nigerian,"['vegan', 'vegetarian', 'gluten-free', 'dairy-free']",250,20,20,30,https://www.yummymedley.com/wp-content/uploads/2017/07/Moi-Moi-moin-moin-1-500x500.jpg
6950,Peruvian Anticuchos de Coraz�n (Grilled Beef Heart Skewers),"beef heart, panca pepper paste, vinegar, garlic, cumin, oregano, vegetable oil, salt, pepper, potatoes or corn for serving",,Peruvian,"['gluten-free', 'dairy-free']",300,20,20,50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRxLo7Z9bOoB5Dhxl9B7Kt7Y7YqwIs37eG9g&s
